,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
emercoin,9028.95565146,135978837.618,emercoin,0.000219463,3.30518,101,41141129.2631,161.169,2427250.0,41141129.2631
peercoin,8986.11659752,135333658.162,peercoin,0.000365972,5.51165,102,24554109.5972,213.201,3210880.0,24554109.5972
feathercoin,8937.52701569,134602140.481,feathercoin,4.77427e-05,0.719021,103,187201960.0,491.446,7401330.0,187201960.0
deeponion,8756.89229539,131881785.851,deeponion,0.000454333,6.84241,104,19274171.7978,49.2539,741780.0,4706307.22775
rise,8665.56892032,130506067.2,rise,7.65921e-05,1.1535,105,113139200.0,629.595,9481910.0,113139200.0
paccoin,8629.92146268,129969384.276,paccoin,2.54059e-09,3.82621e-05,106,3.39681785045e+12,192.321,2896420.0,3.39681785045e+12
hempcoin,8400.5172216,126514598.741,hempcoin,3.648e-05,0.549401,107,230277336.118,380.775,5734600.0,230277336.118
colossuscoinxt,8297.78317476,124967025.809,colossuscoinxt,6.79874e-07,0.0102391,108,12204883809.0,69.1103,1040820.0,4027031669.48
groestlcoin,8263.95323247,124457485.214,groestlcoin,0.000119517,1.79996,109,69144583.8874,305.714,4604150.0,69144583.8874
voxels,8239.497,124089630.0,voxels,3.92357e-05,0.590903,110,210000000.0,1802.47,27145800.0,210000000.0
gulden,8104.261275,122052549.93,gulden,1.75725e-05,0.264647,111,461190000.0,116.439,1753600.0,389690000.0
viacoin,8071.69831152,121562423.812,viacoin,0.000351744,5.29738,112,22947650.3125,227.823,3431100.0,22947650.3125
neblio,7112.73063777,107120139.599,neblio,0.000529585,7.97573,114,13430763.0272,173.578,2614150.0,12690879.7058
burst,7033.27954659,105923533.294,burst,3.90664e-06,0.0588353,115,1800339818.0,397.802,5991030.0,1800339818.0
spectrecoin,6981.85334929,105149117.542,spectrecoin,0.000335904,5.05883,116,20785264.0912,79.4407,1196400.0,20785264.0912
shift,6975.19436659,105048756.548,shift,0.00060248,9.07355,117,11577470.4,212.374,3198420.0,11577470.4
mooncoin,6582.61922185,99136237.7049,mooncoin,2.94929e-08,0.000444172,118,2.23193352361e+11,68.7984,1036130.0,2.23193352361e+11
counterparty,6555.9327009,98734351.9434,counterparty,0.00250473,37.722,119,2617420.91998,105.483,1588600.0,2617420.91998
grantcoin,6537.31775748,98454171.1892,grantcoin,6.50906e-07,0.00980286,120,10043412962.1,0.052332,788.137,43412962.0511
hicoin,6478.6485142,97570587.2763,hicoin,6.47849e-07,0.00975682,121,10000244677.7,21.8129,328510.0,189729990.084
peerplays-ppy,6413.33105608,96586775.132,peerplays-ppy,0.00116558,17.554,122,5502265.87285,0.451766,6803.74,3943587.54891
pura,6342.36044533,95518046.2424,pura,3.54131e-05,0.533333,123,179096448.64,24.4756,368611.0,172313954.64
aeon,6308.32687283,95005466.4645,aeon,0.000430569,6.48451,124,14651140.4045,146.122,2200650.0,14651140.4045
expanse,6218.91652547,93658900.821,expanse,0.000367844,5.53985,126,16906396.5308,168.664,2540130.0,7906396.53078
elastic,5601.0,84352900.0,elastic,5.601e-05,0.843529,127,100000000.0,251.788,3792010.0,88355631.0
diamond,5439.91878484,81926715.2764,diamond,0.00210259,31.6656,128,2587246.57914,94.3206,1420500.0,2587246.57914
ion,5420.15848883,81629294.2114,ion,0.00021968,3.30845,129,24672971.9994,67.2316,1012530.0,18772971.9994
salus,5407.41086553,81437425.252,salus,0.005355,80.6481,130,1009787.27648,102.951,1550470.0,1009787.27648
potcoin,5353.41233544,80624273.7438,potcoin,2.44317e-05,0.36795,131,219117471.786,500.809,7542340.0,219117471.786
sibcoin,5253.26394058,79115842.1944,sibcoin,0.000325922,4.90849,133,16118163.0592,117.029,1762490.0,16118163.0592
geocoin,5170.21172244,77864987.5224,geocoin,0.00153459,23.1114,134,3369116.0,109.977,1656300.0,3369116.0
pascal-coin,5147.6502,77525401.4,pascal-coin,0.00030954,4.66178,135,16630000.0,376.09,5664040.0,16630000.0
lomocoin,4747.5079395,71499059.0875,lomocoin,1.54057e-05,0.232015,137,308165675.01,432.981,6520840.0,223165675.01
nubits,4656.57529381,70129543.5203,nubits,6.619e-05,0.996843,138,70351643.6593,284.583,4285920.0,12029946.509
nolimitcoin,4526.78629034,68174897.2963,nolimitcoin,2.20867e-05,0.332633,139,204955302.981,51.4564,774950.0,204955302.981
sumokoin,4456.3245841,67113792.7657,sumokoin,0.000380966,5.73748,140,11697433.85,52.9349,797217.0,2808544.85
namecoin,4398.3438352,66240412.728,namecoin,0.000298468,4.49502,141,14736400.0,50.1796,755721.0,14736400.0
blackcoin,4352.5968405,65551568.7751,blackcoin,5.68322e-05,0.855912,142,76586808.8952,753.103,11342000.0,76586808.8952
iocoin,4344.66221547,65431994.8341,iocoin,0.0002641,3.97743,143,16450822.4743,28.9174,435505.0,16450822.4743
crown,4159.34115936,62641014.7595,crown,0.000250077,3.76624,144,16632241.9069,114.361,1722320.0,16632241.9069
posw-coin,4158.756,62632220.0,posw-coin,5.94108e-05,0.894746,145,70000000.0,54.6541,823108.0,44100000.0
shield-xsh,4090.01932999,61597204.6051,shield-xsh,8.58704e-06,0.129324,146,476301418.183,44.1596,665059.0,476301418.183
gridcoin,4029.3156446,60682704.3579,gridcoin,1.03233e-05,0.155472,148,390312753.151,113.412,1708020.0,390312753.151
obsidian,3884.94585718,58508581.9661,obsidian,4.1983e-05,0.632278,149,92536166.0,19.9908,301068.0,25000000.0
heat-ledger,3865.80516941,58220474.4787,heat-ledger,0.000123396,1.85839,150,31328448.0,8.93354,134542.0,31328448.0
omni,3850.91958423,57996167.6977,omni,0.00624436,94.0422,151,616703.646848,75.1897,1132380.0,560387.646848
faircoin,3845.80230823,57919039.5194,faircoin,7.22979e-05,1.08883,152,53193831.47,11.7796,177404.0,53193831.47
whitecoin,3616.04907774,54458768.1386,whitecoin,1.4545e-05,0.219052,153,248611143.193,29.0085,436877.0,248611143.193
toacoin,3571.26830697,53784492.0379,toacoin,4.01932e-07,0.00605323,154,8885254985.83,3.95634,59583.8,1331155613.67
phore,3453.37830625,52008988.4537,phore,0.000298234,4.4915,155,11579425.2374,45.334,682745.0,8079425.23738
monetaryunit,3345.44922651,50383479.4664,monetaryunit,2.75193e-05,0.414449,157,121567380.948,329.813,4967090.0,121567380.948
solaris,3283.17294455,49445647.8356,solaris,0.0031248,47.0605,159,1050682.58594,133.963,2017530.0,900981.58594
okcash,3248.43940209,48922592.1766,okcash,4.4152e-05,0.664944,160,73574003.4899,515.367,7761600.0,73574003.4899
sphere,3219.9153125,48493109.0719,sphere,0.00104443,15.7295,161,3082940.27603,910.554,13713200.0,3082940.27603
gobyte,3214.31368054,48408649.4219,gobyte,0.00259125,39.0251,162,1240449.08077,42.4737,639668.0,415462.081799
neoscoin,3163.75639967,47647363.5733,neoscoin,0.000869042,13.0881,163,3640510.3547,196.145,2954010.0,3640510.3547
steem-dollars,3087.07279976,46492300.5679,steem-dollars,0.00063297,9.53273,164,4877123.402,243.402,3665720.0,4877123.402
eboostcoin,3066.69331534,46185381.231,eboostcoin,3.067e-05,0.4619,165,99990000.5001,70.0611,1055140.0,12000000.0
radium,3059.55859216,46077800.9861,radium,0.000893868,13.4619,166,3422830.43152,252.38,3800920.0,3422830.43152
global-currency-reserve,3056.55510953,46032797.1495,global-currency-reserve,2.951e-05,0.444431,167,103576926.788,378.404,5698890.0,103576926.788
bitbean,2984.74759296,44951316.8832,bitbean,1.29928e-06,0.0195676,169,2297232000.0,179.634,2705350.0,2297232000.0
zoin,2880.55013182,43382097.6383,zoin,0.000180857,2.72377,170,15927225.0,55.9167,842124.0,15927225.0
golos,2877.04634257,43329336.7327,golos,2.31053e-05,0.347974,171,124518891.448,8.9537,134846.0,124518891.448
