CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,Marketcap Ratio,Circulating Ratio
" 900,981.59 "," 3,283.17 "," 49,445,647.84 ",solaris,, 0.00312480 , 47.060500 ," 1,050,682.59 ", 133.96 ," 2,017,530.00 ",4.080%,86%
" 8,623,200.00 ", 37.78 ," 568,929.91 ",coinonat,, 0.00000373 , 0.056201 ," 10,123,200.00 ", 1.25 ," 18,858.00 ",3.315%,85%
" 2,297,853.08 "," 4,764.37 "," 71,775,455.56 ",lunyr,ETH, 0.00176239 , 26.550500 ," 2,703,356.08 ", 171.63 ," 2,585,600.00 ",3.602%,85%
" 77,231,175.53 "," 1,857.63 "," 27,976,446.78 ",cannabiscoin,, 0.00002022 , 0.304558 ," 91,859,175.53 "," 1,119.62 "," 16,861,900.00 ",60.272%,84%
" 1,668,949.47 "," 1,410.98 "," 21,249,934.30 ",bulwark,, 0.00071029 , 10.697200 ," 1,986,495.00 ", 63.50 ," 956,392.00 ",4.501%,84%
" 3,726,780.90 "," 3,666.18 "," 55,231,336.60 ",genesis-vision,ETH, 0.00082634 , 12.448900 ," 4,436,643.93 ", 211.70 ," 3,189,240.00 ",5.774%,84%
" 2,007,615.00 ", 91.86 ," 1,383,872.50 ",zcash-gold,ETH, 0.00003674 , 0.553549 ," 2,500,000.00 ", 3.81 ," 57,349.30 ",4.144%,80%
" 492,532,139.86 ", 9.47 ," 142,606.83 ",b3coin,, 0.00000002 , 0.000232 ," 615,334,425.56 ", 51.34 ," 773,185.00 ",542.180%,80%
" 1,000.00 ", 602.81 ," 9,081,400.00 ",primalbase,WAVES, 0.48225000 ," 7,265.120000 "," 1,250.00 ", 82.60 ," 1,244,310.00 ",13.702%,80%
" 80,000,000.00 ", 434.47 ," 6,545,310.00 ",authorship,ETH, 0.00000434 , 0.065453 ," 100,000,000.00 ", 11.34 ," 170,861.00 ",2.610%,80%
" 175,583,793.00 "," 1,797.70 "," 27,074,057.58 ",bitdeal,, 0.00000819 , 0.123299 ," 219,580,512.23 ", 37.33 ," 562,188.00 ",2.076%,80%
