,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
jetcoin,6876108.0,0.00007760,jetcoin,-10.76,301.06,1098.6,,7661291.0,JET,80000000.0,1.11419,600935.0,10,"November 25, 2017, 07:23:44 AM",None,Asset,Cryptopia,,,
jewels,20181636.0,0.00000054,jewels,-0.2,26.94,65.65,,155397.0,JWL,20181636.0,0.00769991,471.939,0,0,,,,,,
jin-coin,9848485.0,0.00000500,jin-coin,1.14,20.26,203.04,9960000.0,704244.0,JIN,9848485.0,0.0715078,5314.12,10,"January 11, 2018, 05:56:58 AM",SHA256,POW,Cryptopia,,,
jingtum-tech,,0.00000233,jingtum-tech,6.02,,,100000000000,,SWTC,600000000000,0.0334052,939589.0,0,0,,,,,,
jinn,58703.0,0.116251,jinn,1.51,26.34,75.33,,97415867.0,JINN,1000000.0,1659.47,8297.35,0,0,,,,,,
jobscoin,106019270.0,0.00000006,jobscoin,-0.2,26.88,56.2,,90704.0,JOBS,200019300.0,0.000855545,443.089,16,"January 03, 2018, 08:13:45 PM",,,,,,
joincoin,3040711.0,0.00001023,joincoin,-0.19,6.4,-48.5,,443548.0,J,3040711.0,0.14587,73.8944,0,0,,,,,,
joulecoin,34749067.0,0.00000436,joulecoin,-2.74,2.94,66.94,,2173297.0,XJO,34749067.0,0.0625426,19267.7,55,"<span class=""edited"" title=""Last edit: January 11, 2018, 10:44:35 PM by IMZ"">January 11, 2018, 10:25:58 PM</span>",SHA256,POW,Cryptopia,,,
karbowanec,5129448.0,0.00010428,karbowanec,1.74,5.26,-13.57,,7680169.0,KRB,5129448.0,1.49727,113238.0,70,"January 12, 2018, 04:28:30 PM",CryptoNight,POW,Cryptopia,,,
karma,,0.00000480,karma,0.11,,,,,KRM,3000000000.0,0.0687177,149490.0,4,<b>Today</b> at 02:44:04 AM,,,,,,
karmacoin,,0.00000001,karmacoin,-0.11,5.71,-14.75,,,KARMA,79050264065.0,0.000142967,11835.1,426,"January 12, 2018, 10:34:50 PM",,,,,,
kashhcoin,,0.00000001,kashhcoin,-0.11,5.68,-14.75,,,KASHH,,0.000142994,241.39,0,0,,,,,,
kayicoin,284341402.0,0.00000019,kayicoin,0.75,-1.62,30.19,300000000.0,775032.0,KAYI,284341402.0,0.00272571,30923.1,25,"January 12, 2018, 09:07:35 AM",POS,POS,Cryptopia,,,
kcash,,0.00001999,kcash,-3.68,,,,,KCASH,1000000000.0,0.285732,7078610.0,0,0,,,,,,
kekcoin,10489321.0,0.00002801,kekcoin,4.23,20.21,128.06,21000000.0,4213770.0,KEK,11489321.0,0.40172,21056.7,52,"January 11, 2018, 07:38:53 PM",POS,POS,Cryptopia,,,
kickico,321137782.0,0.00000800,kickico,0.0,5.2,-34.21,,36660447.0,KICK,457760868.0,0.114158,875753.0,148,"January 12, 2018, 04:47:45 PM",,,,,,
kilocoin,196297971.0,0.00000282,kilocoin,2.65,45.03,164.87,,7957547.0,KLC,10025186872.0,0.0405381,5348.05,0,0,,,,,,
kin,756097560976,0.00000004,kin,3.32,-10.53,-41.6,,465379561.0,KIN,10000000000000,0.000615502,5239980.0,0,0,,,,,,
kingn-coin,2008.0,0.00369999,kingn-coin,-0.09,26.41,139.71,420000.0,105808.0,KNC,2508.0,52.6873,682.371,25,"January 10, 2018, 11:02:32 AM",,,,,,
kittehcoin,,,,,,,,,,,,,,,Scrypt,POW,Cryptopia,,,
kobocoin,24700248.0,0.00000782,kobocoin,2.58,18.93,57.12,,2773171.0,KOBO,24700248.0,0.112273,5405.71,68,"January 07, 2018, 03:25:41 PM",Scrypt,POW,Cryptopia,,,
kolion,600000.0,0.00054421,kolion,0.8,7.29,-4.88,,4683036.0,KLN,1000000.0,7.80506,119536.0,30,"January 09, 2018, 11:07:38 AM",,,,,,
komodo,103954458.0,0.00060113,komodo,2.44,18.18,1.62,,893837849.0,KMD,103954458.0,8.59836,10606300.0,720,"January 12, 2018, 08:13:40 PM",Equihash,POW,Cryptopia,,Binance,Bittrex
korecoin,2022465.0,0.00057313,korecoin,1.16,8.02,19.48,12000000.0,16573028.0,KORE,2022465.0,8.19447,666108.0,105,"January 12, 2018, 09:11:20 PM",,,,,,Bittrex
kronecoin,4324742.0,0.00000870,kronecoin,11.28,-4.09,-56.81,84000000.0,537488.0,KRONE,4324742.0,0.124282,8082.22,0,0,Scrypt,POW,Cryptopia,,,
kubera-coin,,0.00000217,kubera-coin,-16.22,81.17,-38.93,,,KBR,1162102077.0,0.0310421,2487330.0,0,0,Other,Asset,Cryptopia,,,
kucoin-shares,91043076.0,0.00141389,kucoin-shares,4.85,9.11,155.58,,1841227856.0,KCS,181043076.0,20.2237,18440000.0,0,0,,,,Kucoin,,
kurrent,61364813.0,0.00000319,kurrent,4.37,-9.51,-10.61,228000000.0,2807538.0,KURT,72764813.0,0.0457516,40305.8,37,"January 12, 2018, 01:10:12 AM",X11,POW,Cryptopia,,,
kushcoin,5468529.0,0.00002200,kushcoin,0.96,8.13,69.95,,1719814.0,KUSH,5468529.0,0.314493,6260.86,10,"January 07, 2018, 12:21:23 AM",POS,POS,Cryptopia,,,
kyber-network,134132697.0,0.00031958,kyber-network,-1.56,10.88,41.3,,613148726.0,KNC,215625349.0,4.57121,22920100.0,0,0,None,Asset,Cryptopia,Kucoin,Binance,
lamden,142215728.0,0.00008027,lamden,-0.71,1.82,,,163063132.0,TAU,288090567.0,1.14659,2434020.0,10,"January 12, 2018, 10:25:50 PM",,,,,,
lampix,135322017.0,0.00001015,lampix,10.48,-6.11,-43.75,657154880.0,19642532.0,PIX,327154880.0,0.145154,587607.0,13,"January 11, 2018, 07:43:27 PM",,,,,,
lanacoin,853517740.0,0.00000023,lanacoin,-0.37,20.76,123.19,,2814202.0,LANA,853517740.0,0.00329718,73206.0,37,"January 12, 2018, 08:43:43 AM",SHA256,Hybrid,Cryptopia,,,
landcoin,,0.00000132,landcoin,-2.57,-27.13,174.28,,,LDCN,19003881978.0,0.0188108,6505.75,0,0,,,,,,
lathaan,,0.00000009,lathaan,1.72,18.85,18.18,,,LTH,,0.00128695,12.8665,50,"April 02, 2017, 03:22:09 AM",,,,,,
latoken,77839404.0,0.00008482,latoken,-1.47,-2.64,38.53,1000000000.0,94242502.0,LA,400000000.0,1.21073,1412170.0,0,0,,,,Kucoin,,
lazaruscoin,,0.00000015,lazaruscoin,-0.14,-0.96,59.46,,,LAZ,,0.00214491,305.655,24,"January 05, 2018, 04:12:14 PM",,,,,,
leacoin,323135891.0,0.00000007,leacoin,0.27,44.3,-23.81,,323155.0,LEA,323135891.0,0.00100006,1769.51,9,"January 11, 2018, 04:44:03 AM",SHA256,POW,Cryptopia,,,
leekico,,0.00000690,leekico,0.06,-10.39,,,,LEEK,,0.0986547,4489.38,0,0,,,,,,
legends-room,2000000.0,0.00020828,legends-room,-0.66,46.99,63.96,,5974300.0,LGD,30000000.0,2.98715,5065360.0,39,"January 11, 2018, 07:09:53 AM",,,,,,Bittrex
lendconnect,,0.00080164,lendconnect,1.61,,,,,LCT,6500000.0,11.457,1367760.0,17,<b>Today</b> at 12:24:06 AM,,,,,,
leocoin,96298034.0,0.00001675,leocoin,4.21,11.12,-0.86,1000000000.0,23056638.0,LEO,104655453.0,0.23943,21581.5,39,"January 10, 2018, 07:47:59 PM",,,,,,
lepen,,0.00000002,lepen,-0.11,111.43,79.22,,,LEPEN,,0.000285933,2257.51,0,0,POS,POS,Cryptopia,,,
letitride,36445374.0,0.00000010,letitride,-0.04,17.75,42.04,,52087.0,LIR,36445374.0,0.00142918,158.266,195,"December 17, 2016, 06:36:12 PM",,,,,,
leverj,,0.00001781,leverj,-9.35,,,,,LEV,1000000000.0,0.254856,57972.2,0,0,,,,,,
leviarcoin,10287424.0,0.00004400,leviarcoin,8.41,5.5,181.1,54000000.0,6491869.0,XLC,10287424.0,0.631049,57323.0,135,<b>Today</b> at 02:56:57 AM,CryptoNight,POW,Cryptopia,,,
levoplus,1892315.0,0.00000202,levoplus,-3.27,13.56,225.36,,54606.0,LVPS,92892315.0,0.0288565,14913.1,3,"December 19, 2017, 06:15:04 AM",,,,,,
lex4all,1000000.0,0.00000181,lex4all,2.03,,,,25843.0,LEX,5000000.0,0.0258427,5.16854,0,0,,,,,,
library-credit,129786181.0,0.00008377,library-credit,-1.17,27.1,23.38,,155299548.0,LBC,516686184.0,1.19658,15567000.0,187,"January 12, 2018, 07:15:24 PM",Other,POW,Cryptopia,,,Bittrex
life,12008007662.0,0.00000030,life,-5.93,17.57,276.45,100000000000,52275180.0,LIFE,100000000000,0.00435336,2658050.0,14,<b>Today</b> at 12:30:24 AM,,,,,,
lightning-bitcoin,,0.0140804,lightning-bitcoin,-2.4,-10.3,9.64,21000000.0,,LBTC,,201.477,268831.0,0,0,,,,,,
linda,6003429666.0,0.00000069,linda,2.6,-14.12,271.57,50000000000.0,59334057.0,LINDA,6003429666.0,0.00988336,8966570.0,69,<b>Today</b> at 02:43:24 AM,Scrypt,Hybrid,Cryptopia,,,
link-platform,47503.0,0.00711172,link-platform,1.92,-7.64,215.89,,4845142.0,LNK,47503.0,101.996,1027.85,44,"January 12, 2018, 07:44:31 PM",,,,,,
linkedcoin,,0.00000003,linkedcoin,-0.11,-20.77,-14.75,,,LKC,,0.000428983,1026.24,0,0,,,,,,
linx,15054450.0,0.00004568,linx,-6.69,-11.23,68.93,100000000.0,9873566.0,LINX,16054450.0,0.655857,224304.0,39,"January 12, 2018, 02:55:09 PM",Scrypt,POW,Cryptopia,,,
lisk,116938832.0,0.00212072,lisk,2.71,19.93,17.85,,3547222530.0,LSK,116938832.0,30.334,98303800.0,2175,"January 12, 2018, 08:52:58 AM",,,,,Binance,Bittrex
litebar,842958.0,0.00010038,litebar,-2.28,-5.81,85.5,,1209627.0,LTB,842958.0,1.43498,4632.05,19,"January 03, 2018, 06:12:54 PM",Scrypt,POW,Cryptopia,,,
litebitcoin,28940333.0,0.00000301,litebitcoin,0.06,3.4,54.77,1000000000.0,1245491.0,LBTC,172585874.0,0.0430365,95847.1,12,"January 11, 2018, 05:11:12 AM",Scrypt,POW,Cryptopia,,,
litecoin,54729608.0,0.0169486,litecoin,1.95,5.79,-9.19,84000000.0,13253486099.0,LTC,54729608.0,242.163,701906000.0,261,<b>Today</b> at 02:31:50 AM,Scrypt,POW,Cryptopia,Kucoin,Binance,Bittrex
litecoin-gold,,0.00000101,litecoin-gold,4.87,104.26,61.34,,,LTG,84000000.0,0.0144522,89444.9,26,"January 05, 2018, 07:22:15 AM",,,,,,
litecoin-plus,887368.0,0.00009220,litecoin-plus,-1.1,12.35,-1.79,4000000.0,1169587.0,LCP,887368.0,1.31804,27418.9,50,"December 28, 2017, 09:03:18 PM",Scrypt,Hybrid,Cryptopia,,,
litecoin-ultra,971502.0,0.00001361,litecoin-ultra,-3.62,4.16,59.15,,188274.0,LTCU,8471502.0,0.193797,68971.3,65,"January 12, 2018, 11:13:19 PM",Scrypt,POW,Cryptopia,,,
litecred,30227750.0,0.00000022,litecred,0.03,40.0,26.05,,94856.0,LTCR,30227750.0,0.00313803,915.512,48,"January 11, 2018, 08:46:00 PM",,,,,,
litedoge,14922273019.0,0.00000004,litedoge,2.62,28.84,110.71,,8196103.0,LDOGE,14922273019.0,0.000549253,14275.8,41,<b>Today</b> at 02:46:04 AM,Scrypt,POS,Cryptopia,,,
lltoken,,0.00001518,lltoken,-0.94,-6.78,-17.2,,,LLT,1000000000.0,0.217222,873438.0,0,0,,,,,,
lockchain,18585933.0,0.00018772,lockchain,12.81,-11.89,46.87,,49804910.0,LOC,18585933.0,2.67971,237401.0,8,"January 12, 2018, 04:04:20 PM",,,,,,
lomocoin,223770383.0,0.00001628,lomocoin,1.15,24.31,-31.75,,52014530.0,LMC,308770383.0,0.232446,1432380.0,19,"January 12, 2018, 11:46:26 PM",,,,,,Bittrex
loopring,622197280.0,0.00010735,loopring,3.12,6.73,43.91,,955365258.0,LRC,1395076054.0,1.53547,29035500.0,11,"January 12, 2018, 06:23:44 PM",,,,,Binance,
lottocoin,14491014421.0,0.000000007,lottocoin,,,2.33,,1658526.0,LOT,14491014421.0,0.000114452,,0,0,Scrypt,POW,Cryptopia,,,
luckchain,715868299.0,0.00000104,luckchain,3.41,62.78,171.76,,10708388.0,BASH,715868299.0,0.0149586,10914.6,97,"January 12, 2018, 09:13:24 AM",,,,,,
luna-coin,1705305.0,0.00001286,luna-coin,0.62,-4.58,16.8,,313427.0,LUNA,1705305.0,0.183795,12256.9,29,"January 04, 2018, 05:19:40 AM",,,,,,
lunyr,2297853.0,0.00375286,lunyr,-0.67,9.39,49.11,,123175955.0,LUN,2703356.0,53.6048,5606250.0,99,<b>Today</b> at 02:34:14 AM,,,,,Binance,Bittrex
luxcoin,840376.0,0.00340211,luxcoin,0.57,39.32,270.4,60000000.0,40812515.0,LUX,3840376.0,48.5646,3926700.0,124,"<span class=""edited"" title=""Last edit: January 06, 2018, 07:47:06 PM by anorganix"">November 18, 2017, 09:57:07 AM</span>",Other,Hybrid,Cryptopia,,,
lykke,265592354.0,0.00001843,lykke,0.97,31.8,33.53,,69885847.0,LKK,1285690000.0,0.263132,343008.0,107,"January 12, 2018, 06:01:02 PM",,,,,,
machinecoin,20341875.0,0.00001140,machinecoin,-7.06,10.41,51.86,,3328622.0,MAC,20341875.0,0.163634,3258.54,23,<b>Today</b> at 01:26:45 AM,Other,POW,Cryptopia,,,
macro1,,0.00008341,macro1,-1.3,14.11,-22.17,,,MCR,2500000.0,1.19248,8686.88,0,0,,,,,,
macron,401421401.0,0.00000055,macron,16.58,38.35,199.48,,3173810.0,MCRN,401421401.0,0.00790643,18324.6,5,"January 10, 2018, 11:15:11 AM",POS,POS,Cryptopia,,,
madcoin,,0.00003550,madcoin,,,-0.8,,,MDC,2115788.0,0.590684,,20,<b>Today</b> at 01:19:35 AM,,,,,,
maecenas,30150150.0,0.00014682,maecenas,1.87,18.51,160.51,,63191097.0,ART,100000000.0,2.09588,24115.4,0,0,,,,,,
magi,7746230.0,0.00008886,magi,3.04,9.24,-21.05,,9882795.0,XMG,7746230.0,1.27582,239133.0,1139,<b>Today</b> at 02:16:06 AM,M7M,POS,Cryptopia,,,Bittrex
magiccoin,,0.00026319,magiccoin,-2.53,2.62,-16.61,,,MAGE,11008243.0,3.76598,76247.2,7,"January 12, 2018, 09:07:13 PM",Scrypt,Hybrid,Cryptopia,,,
magnet,9833460.0,0.000133,magnet,-3.86,48.74,47.69,,18693703.0,MAG,10083460.0,1.90103,513735.0,51,"January 12, 2018, 09:20:36 PM",,,,,,
magnetcoin,,0.00007707,magnetcoin,-0.07,8.88,-11.87,,,MAGN,5739635.0,1.10184,10513.9,2,"January 07, 2018, 08:44:04 PM",SHA256,Hybrid,Cryptopia,,,
magnum,4016981.0,0.00000056,magnum,0.67,-2.69,-22.47,,32161.0,MGM,254016981.0,0.00800628,6841.92,3,"December 28, 2017, 11:56:13 AM",,,,,,
maidsafecoin,452552412.0,0.00006961,maidsafecoin,1.43,11.9,-0.7,,450626349.0,MAID,452552412.0,0.995744,7123470.0,145,"January 08, 2018, 05:47:25 PM",None,Asset,Cryptopia,,,Bittrex
maker,,0.0970387,maker,0.54,34.81,25.47,,,MKR,1000000.0,1386.86,860103.0,0,0,,,,,,
mao-zedong,6234811.0,0.00000596,mao-zedong,1.14,2.41,-11.3,,531438.0,MAO,6234811.0,0.0852373,478.413,9,"November 23, 2017, 02:26:08 AM",,,,,,
marijuanacoin,1631601.0,0.00003272,marijuanacoin,-1.26,2.23,-9.51,,763503.0,MAR,1631601.0,0.467947,7285.06,23,<b>Today</b> at 01:09:29 AM,X11,Hybrid,Cryptopia,,,
marscoin,28279074.0,0.00000244,marscoin,7.2,2.78,36.38,,986821.0,MARS,28279074.0,0.0348958,6606.88,7,"January 11, 2018, 11:02:35 AM",Scrypt,POW,Cryptopia,,,
martexcoin,2853382.0,0.00019009,martexcoin,6.48,3.96,-14.39,5000000.0,7787879.0,MXT,2853382.0,2.72935,6087.72,24,"October 19, 2017, 03:25:05 PM",,,,,,
marxcoin,,0.00000058,marxcoin,-9.56,15.33,86.58,,,MARX,49312080.0,0.00825468,19546.7,0,0,X11,POW,Cryptopia,,,
master-swiscoin,45089280.0,0.00000042,master-swiscoin,4.4,69.47,241.27,,273030.0,MSCN,1007201656.0,0.00605531,56652.6,8,"December 09, 2017, 04:57:37 AM",,,,,,
masternodecoin,46870065.0,0.00001997,masternodecoin,2.39,4.96,-0.31,,13382622.0,MTNC,80654559.0,0.285526,19204.5,255,<b>Today</b> at 02:22:53 AM,SHA256,POS,Cryptopia,,,
matryx,,0.00015741,matryx,0.83,1.16,175.6,,,MTX,314159265.0,2.2505,14147.3,0,0,,,,,,
mavro,,0.00001205,mavro,-0.11,-15.14,72.16,,,MAVRO,15005722.0,0.172308,284.221,0,0,,,,,,
maxcoin,61445805.0,0.00000234,maxcoin,2.03,22.78,45.75,,2063086.0,MAX,61445805.0,0.0335757,4324.32,538,"January 12, 2018, 02:33:04 PM",,,,,,
mazacoin,1055345280.0,0.00000030,mazacoin,-3.21,7.71,43.78,,4540739.0,MZC,1371778720.0,0.00430261,54284.8,156,"<span class=""edited"" title=""Last edit: January 10, 2018, 05:21:51 AM by The Zah"">January 09, 2018, 08:18:38 PM</span>",SHA256,POW,Cryptopia,,,
mcap,10490000.0,0.00004420,mcap,3.36,11.29,-9.0,,6649149.0,MCAP,100000000.0,0.633856,153537.0,0,0,,,,,,
measurable-data-token,,0.00003181,measurable-data-token,-0.92,-5.42,,,,MDT,1000000000.0,0.454582,1603240.0,6,"January 12, 2018, 09:16:52 AM",,,,,,
medibloc,2966384100.0,0.00001519,medibloc,0.25,-3.81,254.1,10000000000.0,644331257.0,MED,4097545844.0,0.217211,32909400.0,0,0,,,,,,
medishares,,0.00000911,medishares,0.81,6.09,-4.97,,,MDS,2000000000.0,0.130143,38487200.0,0,0,,,,,,
megacoin,36634612.0,0.00000924,megacoin,3.93,15.72,23.73,42000000.0,4856944.0,MEC,36634612.0,0.132578,110782.0,4,"January 12, 2018, 02:23:48 PM",Scrypt,POW,Cryptopia,,,
melon,599400.0,0.015933,melon,2.02,10.1,-3.75,,136412651.0,MLN,749400.0,227.582,762996.0,0,0,,,,,,Bittrex
memetic,18972551.0,0.00006895,memetic,0.48,8.33,15.23,,18697905.0,MEME,19339804.0,0.985524,1056610.0,128,"January 12, 2018, 04:49:42 PM",,,,,,Bittrex
mercury,100000000.0,0.00005439,mercury,2.04,30.07,-10.37,,77637900.0,MER,100000000.0,0.776379,1675260.0,0,0,,,,,,Bittrex
mercury-protocol,168809625.0,0.00001533,mercury-protocol,3.42,16.29,199.82,,36947194.0,GMT,1000000000.0,0.218869,184143.0,0,0,,,,,,
mergecoin,,0.00000209,mergecoin,0.44,-5.98,-7.63,,,MGC,100000000.0,0.02988,17146.2,0,0,,,,,,
metal,19300994.0,0.00043729,metal,0.32,20.11,-24.67,,120556518.0,MTL,66588888.0,6.24613,8645710.0,0,0,None,Asset,Cryptopia,,Binance,Bittrex
metal-music-coin,79719140.0,0.00000024,metal-music-coin,-8.83,-48.5,-17.47,,277719.0,MTLMC3,79719140.0,0.00348372,11567.4,31,"January 10, 2018, 11:07:35 PM",,,,,,
metalcoin,76925527.0,0.00000096,metalcoin,0.99,-22.52,-30.51,,1056149.0,METAL,76925527.0,0.0137295,2116.12,8,"January 06, 2018, 08:01:57 AM",,,,,,
metaverse,36974586.0,0.0002846,metaverse,0.89,8.59,-15.48,100000000.0,150303911.0,ETP,56374586.0,4.06506,10351800.0,17,"January 12, 2018, 09:59:07 AM",,,,,,
micromoney,,0.00010452,micromoney,-5.46,-7.35,36.37,,,AMM,17532943.0,1.49379,5832660.0,161,"December 18, 2017, 07:10:05 PM",,,,,,
milocoin,10789954.0,0.00000094,milocoin,-0.07,-4.92,-11.93,30015000.0,145096.0,MILO,10789954.0,0.0134473,928.521,33,"January 10, 2018, 02:04:31 PM",,,,,,
mincoin,4129759.0,0.00002098,mincoin,0.32,120.3,69.85,,1238771.0,MNC,4129759.0,0.299962,693.391,0,0,,,,,,
mindcoin,15867695.0,0.00000040,mindcoin,-0.2,7.75,-3.04,,90504.0,MND,15867695.0,0.00570364,66.9668,24,"January 12, 2018, 05:49:57 PM",,,,,,
minereum,1888195.0,0.00010501,minereum,-4.37,25.95,61.97,,2845094.0,MNE,1888195.0,1.50678,65161.7,412,<b>Today</b> at 02:40:14 AM,Scrypt,POW,Cryptopia,,,
miners-reward-token,10000000.0,0.00003123,miners-reward-token,4.57,7.6,4.05,,4478660.0,MRT,10000000.0,0.447866,36143.5,0,0,,,,,,
mineum,9436367.0,0.00000820,mineum,0.68,0.51,37.51,,1106282.0,MNM,9586367.0,0.117236,3500.9,119,"January 04, 2018, 04:33:51 PM",X13,Hybrid,Cryptopia,,,
minex,,0.00000345,minex,-0.49,1.47,-13.07,,,MINEX,30000000.0,0.0493916,5325.5,12,"January 12, 2018, 12:43:34 PM",None,Asset,Cryptopia,,,
minexcoin,3000000.0,0.00202241,minexcoin,0.96,17.71,15.66,19000000.0,86608800.0,MNX,6000000.0,28.8696,211804.0,723,<b>Today</b> at 01:09:13 AM,,,,,,
mintcoin,24947260808.0,0.00000013,mintcoin,7.33,12.54,119.81,,46519157.0,MINT,24947260808.0,0.0018647,1273130.0,1025,"January 12, 2018, 06:25:18 PM",POS,POS,Cryptopia,,,
mixin,,0.152971,mixin,8.9,11.33,,,,XIN,,2186.23,1296810.0,0,0,,,,,,
mmxvi,,0.00000042,mmxvi,-0.11,19.92,25.26,,,MMXVI,,0.00600576,77.0508,10,"December 25, 2016, 06:55:17 PM",,,,,,
mobilecash,,0.00000005,mobilecash,-0.16,-11.97,42.08,,,MBL,1068669648.0,0.000714971,150.187,17,"<span class=""edited"" title=""Last edit: December 18, 2017, 12:34:11 PM by jp1981"">December 18, 2017, 11:49:35 AM</span>",,,,,,
mobilego,98028877.0,0.00009633,mobilego,1.83,2.59,6.33,,134884794.0,MGO,100000000.0,1.37597,455291.0,403,"January 12, 2018, 10:58:24 PM",None,Asset,Cryptopia,,,
modum,18266200.0,0.00070982,modum,1.84,-1.84,60.17,27266200.0,185197349.0,MOD,27266200.0,10.1388,8118980.0,0,0,,,,Kucoin,Binance,
moeda-loyalty-points,19628888.0,0.00022307,moeda-loyalty-points,1.07,12.2,-15.09,,62504268.0,MDA,19628888.0,3.1843,3504170.0,4,"January 10, 2018, 05:16:01 PM",,,,,Binance,
moin,7360889.0,0.00008507,moin,-1.64,14.31,182.1,,8990516.0,MOIN,7360889.0,1.22139,234557.0,64,"January 12, 2018, 12:41:23 PM",POS,POS,Cryptopia,,,
mojocoin,12151516.0,0.00000623,mojocoin,-1.51,24.55,16.24,,1081924.0,MOJO,12151516.0,0.0890361,20622.5,17,"January 09, 2018, 09:31:09 PM",Scrypt,POS,Cryptopia,,,
monaco,13085542.0,0.00115765,monaco,2.97,10.84,0.5,,216679568.0,MCO,31587682.0,16.5587,14602100.0,366,<b>Today</b> at 01:31:55 AM,,,,,Binance,Bittrex
monacocoin,2882146.0,0.00051917,monacocoin,-4.54,3.72,39.61,,21387683.0,XMCC,9882146.0,7.42075,286288.0,64,"January 12, 2018, 06:48:23 PM",X11,Hybrid,Cryptopia,,,
monacoin,56676500.0,0.00056036,monacoin,0.47,3.16,-2.96,,454276883.0,MONA,56676500.0,8.01526,4879740.0,98,"January 11, 2018, 07:15:20 PM",,,,,,Bittrex
monero,15595375.0,0.0298131,monero,8.21,19.87,9.53,,6650444892.0,XMR,15595375.0,426.437,194853000.0,1883,"<span class=""edited"" title=""Last edit: Today at 01:58:13 AM by alexeyneu""><b>Today</b> at 01:26:10 AM</span>",CryptoNight,POW,Cryptopia,,Binance,Bittrex
moneta2,,0.00000010,moneta2,-0.14,76.07,93.18,,,MONETA,,0.00142994,1731.55,10,"September 22, 2017, 02:17:34 AM",,,,,,
monetaryunit,122217577.0,0.00002844,monetaryunit,0.85,4.52,-2.08,4000000000.0,49617647.0,MUE,122217577.0,0.405978,1502820.0,198,<b>Today</b> at 12:20:49 AM,,,,,,Bittrex
monetha,216964020.0,0.00003549,monetha,1.44,-2.53,11.53,,109971251.0,MTH,402400000.0,0.506864,4679780.0,195,"January 12, 2018, 06:07:16 PM",,,,Kucoin,Binance,
money,45887218.0,0.00000076,money,0.93,4.96,97.09,,498230.0,$$$,45887218.0,0.0108577,9365.24,12,"January 11, 2018, 10:48:31 PM",Scrypt,POW,Cryptopia,,,
moneycoin,,0.00000002,moneycoin,-0.11,5.71,70.49,,,MONEY,,0.000285933,2199.57,0,0,,,,,,
monkey-project,105797.0,0.00110012,monkey-project,-0.54,2.49,205.07,,1663840.0,MONK,505797.0,15.7267,277224.0,30,<b>Today</b> at 02:17:56 AM,X11,POW,Cryptopia,,,
monster-byte,16822736.0,0.00001394,monster-byte,2.41,25.52,98.88,,3365035.0,MBI,40000000.0,0.200029,2815.1,22,"January 12, 2018, 09:13:06 PM",,,,,,
mooncoin,223271601581,0.00000004,mooncoin,-3.52,9.93,-26.41,,116762563.0,MOON,223271601581,0.000522962,723587.0,228,"January 12, 2018, 11:58:53 PM",,,,,,
morningstar-payments,32820913.0,0.00000015,morningstar-payments,,,,,74994.0,MRNG,32820913.0,0.00228495,,40,"January 12, 2018, 05:26:17 PM",,,,,,
mothership,140000000.0,0.00003778,mothership,5.66,14.52,38.4,,75500320.0,MSP,200000000.0,0.539288,835603.0,17,"January 12, 2018, 05:34:17 PM",Ethash,Asset,Cryptopia,,,
motocoin,18397010.0,0.00000298,motocoin,1.17,19.99,1.04,,784005.0,MOTO,30927640.0,0.0426159,4374.83,106,"January 07, 2018, 10:31:52 AM",Scrypt,POW,Cryptopia,,,
msd,,0.00000043,msd,0.03,4.26,-16.59,30000000000.0,,MSD,6088400259.0,0.00615927,28826.1,3,"January 04, 2018, 01:34:37 AM",,,,,,
mtmgaming,2999967.0,0.00000161,mtmgaming,,,,,74214.0,MTM,5000000.0,0.0247384,,0,0,,,,,,
musicoin,549155228.0,0.00000574,musicoin,2.17,24.57,32.04,,44971255.0,MUSIC,549155228.0,0.0818917,1952050.0,140,<b>Today</b> at 02:20:24 AM,Ethash,POW,Cryptopia,,,Bittrex
musiconomi,,0.00001146,musiconomi,-2.64,-21.55,-18.31,,,MCI,100000000.0,0.163825,5799.11,8,"December 11, 2017, 01:09:53 PM",None,Asset,Cryptopia,,,
mustangcoin,630343.0,0.00005178,mustangcoin,-0.18,23.84,22.26,,466345.0,MST,630343.0,0.739827,5035.31,10,"January 09, 2018, 03:26:11 PM",X11,POS,Cryptopia,,,
mutual-coin,2191047038.0,0.00000002,mutual-coin,,,-0.78,1000000000.0,583276.0,MUT,2255123617.0,0.000266209,,51,"January 12, 2018, 09:36:23 PM",,,,,,
mybit-token,2799476.0,0.00083269,mybit-token,8.55,10.19,68.95,,33275974.0,MYB,2812073.0,11.8865,56968.3,19,"January 12, 2018, 09:31:53 PM",None,Asset,Cryptopia,,,
myriad,1544006250.0,0.00000272,myriad,0.89,9.43,41.5,,60019846.0,XMY,1544006250.0,0.0388728,1986320.0,407,"January 12, 2018, 11:09:03 PM",Other,POW,Cryptopia,,,Bittrex
mysterium,19429024.0,0.00022009,mysterium,3.41,-1.73,68.8,,61040165.0,MYST,32433366.0,3.1417,12439300.0,70,"January 12, 2018, 08:56:38 PM",,,,,,Bittrex
mywish,17874260.0,0.00012195,mywish,4.71,-11.06,22.11,,31156802.0,WISH,19803895.0,1.74311,355550.0,82,"January 12, 2018, 08:14:03 PM",None,POW,Cryptopia,,,
