,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
apx,703179.0,0.001385,apx,2.96,15.74,4.43,,13924632.0,APX,803179.0,19.8024,316819.0,10,"May 03, 2017, 12:36:03 PM",None,Asset,Cryptopia,,,Bittrex
aquariuscoin,1544382.0,0.00003818,aquariuscoin,-3.01,12.54,161.13,,843203.0,ARCO,1544382.0,0.545981,3989.3,20,"January 10, 2018, 05:14:37 PM",POS,POS,Cryptopia,,,
aragon,32148624.0,0.00043889,aragon,2.25,6.03,14.26,,201539724.0,ANT,39609524.0,6.269,1886910.0,0,0,,,,,,Bittrex
arbit,8100675.0,0.00000083,arbit,3.54,54.48,87.73,,95871.0,ARB,8100675.0,0.011835,169.206,40,"January 07, 2018, 07:07:36 PM",,,,,,
arcade-token,1505368.0,0.00008510,arcade-token,,4.63,-86.34,,1778999.0,ARC,1505368.0,1.18177,,4,"January 10, 2018, 02:10:46 AM",X11,Hybrid,Cryptopia,,,
arcticcoin,24619549.0,0.00002365,arcticcoin,0.7,29.29,111.67,,8360971.0,ARC,24619549.0,0.339607,101107.0,40,<b>Today</b> at 12:20:13 AM,,,,,,
ardor,998999495.0,0.00010653,ardor,1.92,13.62,-4.31,998999495.0,1522175531.0,ARDR,998999495.0,1.5237,3909720.0,169,"January 12, 2018, 10:31:26 PM",,,,,,
argentum,8786491.0,0.00001569,argentum,85.9,133.2,468.0,,1972146.0,ARG,8786491.0,0.224452,33495.1,26,"January 12, 2018, 04:45:57 AM",Scrypt,POW,Cryptopia,,,
argus,1148324.0,0.00000668,argus,0.04,25.77,65.53,,109227.0,ARGUS,5194373.0,0.0951186,4317.47,26,"January 11, 2018, 12:23:38 AM",Scrypt,POW,Cryptopia,,,
aricoin,140262505.0,0.00000074,aricoin,1.1,20.76,148.33,,1483781.0,ARI,140262505.0,0.0105786,4853.39,12,<b>Today</b> at 03:15:37 AM,Scrypt,POW,Cryptopia,,,
