Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
metaverse,ETP,"$89,728,995 ",$2.45 ,"36,619,446","$4,793,630 ",-0.69%,8.35%,-13.20%,
minexcoin,MNX,"$87,843,600 ",$29.28 ,"3,000,000","$201,254 ",-2.94%,1.87%,-36.15%,
singulardtv,SNGLS,"$85,969,800 ",$0.14 ,"600,000,000 *","$7,002,390 ",-0.77%,23.05%,-12.99%,
bitbay,BAY,"$85,107,376 ",$0.08 ,"1,008,178,166 *","$9,310,030 ",-0.54%,17.37%,11.00%,
jinn,JINN,"$84,734,258 ","$1,443.44 ","58,703 *","$14,434 ",-0.93%,10.20%,158.07%,
pepe-cash,PEPECASH,"$83,811,268 ",$0.12 ,"701,884,009 *","$412,005 ",1.71%,25.02%,234.03%,
achain,ACT,"$83,263,800 ",$0.28 ,"300,000,000 *","$1,204,670 ",2.02%,1.53%,22.82%,
substratum,SUB,"$81,079,333 ",$0.36 ,"226,091,449 *","$3,515,150 ",-0.90%,3.47%,16.91%,
rchain,RHOC,"$79,626,863 ",$0.44 ,"182,963,195 *","$180,600 ",-3.34%,-5.30%,27.16%,
lykke,LKK,"$76,370,961 ",$0.29 ,"263,817,553 *","$117,572 ",0.25%,1.43%,6.75%,
groestlcoin,GRS,"$73,614,113 ",$1.07 ,"68,984,559","$3,666,150 ",-1.68%,7.29%,-19.27%,
particl,PART,"$71,828,230 ",$9.21 ,"7,801,963 *","$974,720 ",0.70%,-2.07%,-0.08%,
ripio-credit-network,RCN,"$71,234,465 ",$0.15 ,"485,142,647 *","$12,626,900 ",1.42%,23.25%,1.17%,
fedoracoin,TIPS,"$69,301,311 ",$0.00 ,"443,168,182,458","$3,419 ",-0.17%,70.03%,803.17%,
zencash,ZEN,"$69,260,322 ",$28.20 ,"2,455,648","$1,595,550 ",-2.27%,4.23%,-16.78%,
adex,ADX,"$68,266,763 ",$1.13 ,"60,248,315 *","$6,681,360 ",0.02%,7.66%,-19.59%,
feathercoin,FTC,"$68,229,916 ",$0.37 ,"184,639,720","$1,444,450 ",-0.43%,1.06%,7.61%,
ubiq,UBQ,"$67,847,066 ",$1.76 ,"38,653,350","$658,856 ",-3.88%,0.32%,-15.87%,
mobilego,MGO,"$66,636,312 ",$0.68 ,"98,028,887 *","$478,523 ",0.57%,6.05%,4.62%,
potcoin,POT,"$65,805,537 ",$0.30 ,"218,933,627 *","$1,926,080 ",1.62%,8.29%,-28.57%,
asch,XAS,"$65,666,461 ",$0.72 ,"91,026,170","$924,764 ",1.78%,11.78%,49.78%,
quantstamp,QSP,"$65,646,424 ",$0.11 ,"617,314,171 *","$9,603,970 ",-1.31%,0.90%,-16.71%,
aragon,ANT,"$65,381,581 ",$2.02 ,"32,430,053 *","$1,166,780 ",0.06%,5.74%,-6.63%,
sonm,SNM,"$64,444,276 ",$0.18 ,"359,600,000 *","$3,814,680 ",1.59%,38.70%,33.46%,
quantum-resistant-ledger,QRL,"$63,023,480 ",$1.21 ,"52,000,000 *","$466,757 ",-0.82%,2.36%,2.91%,
yoyow,YOYOW,"$62,497,806 ",$0.30 ,"211,436,247 *","$24,322,500 ",3.16%,-0.32%,45.66%,
counterparty,XCP,"$62,463,850 ",$23.86 ,"2,617,460 *","$514,105 ",0.90%,12.14%,-6.67%,
cobinhood,COB,"$61,877,933 ",$0.23 ,"265,232,444 *","$340,572 ",0.01%,2.55%,19.39%,
loopring,LRC,"$61,627,731 ",$0.22 ,"286,170,756 *","$5,287,190 ",0.87%,1.45%,-27.61%,
paypie,PPP,"$61,474,380 ",$0.75 ,"82,500,000 *","$209,363 ",0.36%,4.01%,8.52%,
faircoin,FAIR,"$59,743,056 ",$1.12 ,"53,193,831 *","$141,164 ",2.61%,6.63%,-10.10%,
viacoin,VIA,"$57,693,167 ",$2.52 ,"22,921,310","$1,946,110 ",-0.80%,12.83%,4.41%,
open-trading-network,OTN,"$55,986,777 ",$12.08 ,"4,634,859 *","$243,621 ",4.44%,-3.88%,8.57%,
ink,INK,"$55,230,228 ",$0.31 ,"178,250,000 *","$24,965,500 ",1.69%,-1.47%,36.28%,
agoras-tokens,AGRS,"$53,520,600 ",$1.27 ,"42,000,000 *","$2,024,150 ",-5.55%,0.47%,23.19%,
aeon,AEON,"$52,714,217 ",$3.60 ,"14,651,140","$182,877 ",1.83%,4.49%,-3.16%,
enigma,ENG,"$51,289,793 ",$0.69 ,"74,836,171 *","$6,383,210 ",1.27%,27.97%,0.84%,
mercury,MER,"$50,889,800 ",$0.51 ,"100,000,000 *","$1,709,370 ",-0.07%,8.95%,-9.30%,
wings,WINGS,"$49,596,777 ",$0.55 ,"89,708,333 *","$775,804 ",0.82%,8.67%,-10.40%,
eidoo,EDO,"$49,305,045 ",$2.35 ,"20,986,407 *","$2,269,660 ",0.10%,7.77%,10.14%,
rlc,RLC,"$48,778,693 ",$0.62 ,"79,070,793 *","$453,186 ",8.23%,20.24%,1.58%,
reddcoin,RDD,"$48,504,849 ",$0.00 ,"28,683,781,717 *","$477,407 ",4.65%,13.29%,17.93%,
voxels,VOX,"$46,788,420 ",$0.22 ,"210,000,000 *","$13,396,700 ",-3.70%,14.99%,13.05%,
kucoin-shares,KCS,"$46,666,314 ",$0.51 ,"91,043,076 *","$736,982 ",0.02%,14.27%,7.03%,
kin,KIN,"$46,161,193 ",$0.00 ,"756,097,560,976 *","$119,293 ",0.54%,0.54%,-7.97%,
rise,RISE,"$45,309,082 ",$0.40 ,"113,139,200 *","$3,622,800 ",-1.37%,12.22%,-16.07%,
melon,MLN,"$45,296,059 ",$75.57 ,"599,400 *","$806,562 ",1.05%,4.22%,-3.86%,
neblio,NEBL,"$44,989,246 ",$3.56 ,"12,623,635 *","$367,556 ",2.82%,2.76%,-2.86%,
namecoin,NMC,"$44,930,252 ",$3.05 ,"14,736,400","$479,465 ",1.47%,12.35%,30.64%,
emercoin,EMC,"$43,614,345 ",$1.06 ,"41,036,050","$172,325 ",0.72%,4.51%,-1.21%,
trust,TRST,"$42,761,140 ",$0.46 ,"92,147,500 *","$2,017,190 ",-4.37%,-4.28%,3.32%,
sibcoin,SIB,"$42,543,184 ",$2.66 ,"15,983,583","$761,360 ",-0.13%,18.97%,31.05%,
cloakcoin,CLOAK,"$42,529,386 ",$8.30 ,"5,125,122 *","$541,359 ",4.78%,19.87%,17.86%,
blocktix,TIX,"$41,500,000 ",$1.04 ,"40,000,000 *","$4,041,680 ",-0.38%,2.74%,28.94%,
diamond,DMD,"$41,203,055 ",$16.14 ,"2,552,664","$47,500 ",1.35%,2.54%,32.36%,
coindash,CDT,"$40,664,343 ",$0.07 ,"560,650,080 *","$6,720,680 ",-4.15%,12.41%,48.58%,
cofound-it,CFI,"$39,142,350 ",$0.12 ,"325,000,000 *","$4,649,120 ",-2.03%,13.63%,-22.35%,
airswap,AST,"$38,570,250 ",$0.26 ,"150,000,000 *","$3,462,050 ",1.24%,5.19%,4.50%,
taas,TAAS,"$38,527,081 ",$4.73 ,"8,146,001 *","$770,629 ",-0.06%,5.34%,12.30%,
russian-mining-coin,RMC,"$38,030,049 ","$25,235.60 ","1,507 *","$302,971 ",4.55%,8.24%,8.52%,
cindicator,CND,"$37,904,397 ",$0.03 ,"1,445,976,590 *","$9,486,160 ",0.25%,35.82%,28.29%,
global-currency-reserve,GCR,"$37,804,329 ",$0.37 ,"103,500,062 *","$14,129,300 ",-7.35%,46.94%,86.33%,
blockv,VEE,"$37,386,554 ",$0.03 ,"1,349,120,359 *","$64,480 ",-2.39%,-3.00%,32.70%,
zeusshield,ZSC,"$37,065,561 ",$0.03 ,"1,153,170,765 *","$1,041,430 ",-0.48%,-1.80%,-3.78%,
bitqy,BQ,"$36,648,727 ",$0.01 ,"2,713,514,493 *","$7,766 ",2.09%,20.15%,-10.85%,
whitecoin,XWC,"$36,295,118 ",$0.15 ,"248,550,735 *","$357,842 ",2.08%,7.42%,8.75%,
decent,DCT,"$36,249,188 ",$0.71 ,"51,306,089 *","$321,698 ",2.27%,12.49%,-31.25%,
tierion,TNT,"$36,138,270 ",$0.09 ,"422,513,667 *","$7,180,050 ",1.18%,5.16%,5.51%,
elastic,XEL,"$36,107,835 ",$0.41 ,"87,731,088 *","$20,498,900 ",-6.02%,65.35%,16.63%,
iocoin,IOC,"$35,667,284 ",$2.17 ,"16,404,634 *","$160,509 ",2.30%,6.39%,-32.78%,
smartcash,SMART,"$35,432,690 ",$0.08 ,"441,941,322","$93,147 ",2.31%,6.88%,36.13%,
pillar,PLR,"$35,302,627 ",$0.16 ,"227,384,800 *","$148,955 ",-1.41%,-0.18%,-5.12%,
enjin-coin,ENJ,"$35,237,740 ",$0.05 ,"756,192,535 *","$1,879,970 ",-0.49%,5.44%,83.98%,
safe-exchange-coin,SAFEX,"$34,846,143 ",$0.02 ,"2,147,483,647 *","$3,673,620 ",1.00%,-13.86%,-4.51%,
wagerr,WGR,"$34,613,901 ",$0.19 ,"183,000,000 *","$267,694 ",-5.25%,-2.78%,76.69%,
library-credit,LBC,"$34,482,296 ",$0.30 ,"113,195,885","$1,746,610 ",2.17%,22.26%,-11.21%,
gulden,NLG,"$34,464,481 ",$0.10 ,"357,794,845","$448,350 ",1.49%,8.12%,5.62%,
crown,CRW,"$34,410,020 ",$2.10 ,"16,361,571","$313,876 ",1.62%,13.09%,39.55%,
paypex,PAYX,"$33,803,029 ",$0.49 ,"68,380,258 *","$13,212 ",-0.44%,5.09%,27.69%,
bitcore,BTX,"$33,296,747 ",$18.41 ,"1,808,259","$1,638,940 ",4.00%,-4.74%,-17.17%,
salus,SLS,"$33,273,019 ",$32.95 ,"1,009,699 *","$526,941 ",2.60%,10.71%,53.63%,
numeraire,NMR,"$32,809,675 ",$25.30 ,"1,296,779 *","$416,797 ",4.97%,8.26%,-8.49%,
centra,CTR,"$32,704,940 ",$0.48 ,"68,000,000 *","$2,827,370 ",-2.68%,15.62%,13.54%,
xtrabytes,XBY,"$32,648,524 ",$0.08 ,"430,000,000 *","$1,488,010 ",-2.36%,37.93%,199.62%,
okcash,OK,"$32,500,642 ",$0.44 ,"73,428,530 *","$3,007,920 ",-4.95%,8.64%,-15.73%,
nolimitcoin,NLC2,"$32,116,916 ",$0.16 ,"204,643,246 *","$115,225 ",1.08%,-1.72%,-2.01%,
ion,ION,"$31,912,067 ",$1.75 ,"18,234,633 *","$218,579 ",1.74%,9.33%,12.15%,
grid,GRID,"$31,321,196 ",$0.80 ,"39,236,491 *","$45,254 ",1.72%,13.82%,-9.05%,
modum,MOD,"$31,285,069 ",$1.71 ,"18,266,200 *","$2,239,460 ",-0.19%,-2.16%,-14.74%,
firstblood,1ST,"$31,213,490 ",$0.36 ,"85,558,371 *","$989,457 ",1.85%,3.77%,-26.29%,
time-new-bank,TNB,"$30,634,279 ",$0.03 ,"1,132,673,199 *","$754,057 ",1.93%,0.43%,-17.78%,
bitzeny,ZNY,"$30,299,940 ",$0.40 ,"75,614,500","$733,759 ",2.02%,8.54%,728.41%,
presearch,PRE,"$30,277,700 ",$0.20 ,"155,000,000 *","$121,968 ",3.38%,-4.82%,?,
district0x,DNT,"$29,048,340 ",$0.05 ,"600,000,000 *","$4,163,510 ",0.51%,7.09%,-1.04%,
guppy,GUP,"$28,657,500 ",$0.38 ,"75,000,000 *","$5,293,220 ",-1.96%,16.52%,-15.37%,
gridcoin,GRC,"$28,245,373 ",$0.07 ,"390,312,753","$272,059 ",-0.48%,5.43%,17.68%,
delphy,DPY,"$28,220,186 ",$1.00 ,"28,166,669 *","$58,139 ",-0.26%,5.26%,19.77%,
monetaryunit,MUE,"$28,205,910 ",$0.24 ,"119,832,397","$2,242,050 ",0.71%,20.26%,27.33%,
icos,ICOS,"$28,163,451 ",$49.47 ,"569,254 *","$54,159 ",5.93%,21.03%,9.97%,
amber,AMB,"$27,976,185 ",$0.19 ,"144,590,975 *","$332,751 ",-0.65%,-1.44%,-3.29%,
golos,GOLOS,"$27,920,622 ",$0.22 ,"124,518,891","$3,063,020 ",-0.70%,17.08%,48.21%,
moeda-loyalty-points,MDA,"$27,856,336 ",$1.42 ,"19,628,888 *","$977,205 ",0.80%,4.51%,0.95%,
triggers,TRIG,"$27,267,460 ",$0.85 ,"32,105,578 *","$1,713,210 ",0.25%,8.19%,-16.19%,
bitdice,CSNO,"$27,167,280 ",$0.39 ,"70,000,000 *","$54,498 ",1.51%,3.69%,25.87%,
burst,BURST,"$27,096,735 ",$0.02 ,"1,800,339,818","$2,014,460 ",0.64%,7.18%,55.15%,
unikoin-gold,UKG,"$26,844,489 ",$0.20 ,"133,789,637 *","$130,505 ",11.84%,7.57%,10.68%,
waves-community-token,WCT,"$26,363,660 ",$2.64 ,"9,973,579 *","$30,731 ",-0.87%,10.16%,61.68%,
transfercoin,TX,"$26,031,311 ",$4.17 ,"6,238,302 *","$1,045,020 ",0.33%,7.28%,34.47%,
steem-dollars,SBD,"$25,911,210 ",$7.05 ,"3,677,936 *","$956,631 ",5.27%,-1.46%,207.82%,
omni,OMNI,"$25,766,306 ",$45.99 ,"560,261 *","$170,488 ",-1.81%,9.11%,22.00%,
blackcoin,BLK,"$25,729,744 ",$0.34 ,"76,541,309 *","$928,025 ",2.69%,4.54%,-12.69%,
dentacoin,DCN,"$25,567,853 ",$0.00 ,"325,190,215,376 *","$33,479 ",-1.68%,-4.17%,12.96%,
xaurum,XAUR,"$25,109,002 ",$0.20 ,"127,107,801 *","$465,380 ",-4.61%,6.05%,-11.77%,
humaniq,HMQ,"$25,033,500 ",$0.15 ,"162,862,944 *","$1,371,150 ",2.08%,13.74%,1.00%,
polybius,PLBT,"$24,863,289 ",$6.51 ,"3,820,954 *","$157,204 ",3.15%,4.51%,43.63%,
shift,SHIFT,"$23,995,495 ",$2.09 ,"11,495,178 *","$373,775 ",-5.42%,-5.04%,-14.99%,
genesis-vision,GVT,"$23,916,318 ",$6.42 ,"3,726,781 *","$3,758,890 ",2.45%,29.01%,2.59%,
bitsend,BSD,"$23,882,455 ",$1.37 ,"17,462,275","$1,518,290 ",0.20%,32.35%,24.57%,
aventus,AVT,"$23,588,040 ",$3.93 ,"6,000,000 *","$1,507,910 ",-0.52%,-0.18%,34.63%,
red-pulse,RPX,"$23,556,874 ",$0.04 ,"543,348,500 *","$861,639 ",-0.31%,4.41%,4.84%,
etheroll,DICE,"$23,493,945 ",$3.36 ,"7,001,623 *","$54,759 ",-0.02%,34.39%,24.43%,
hempcoin,THC,"$23,189,613 ",$0.10 ,"229,832,236","$2,928,770 ",-0.21%,-7.96%,27.18%,
xplay,XPA,"$22,999,800 ",$0.02 ,"1,000,000,000 *","$597,613 ",-0.44%,5.21%,-14.75%,
leocoin,LEO,"$22,698,952 ",$0.24 ,"94,609,322 *","$35,542 ",5.53%,-2.30%,-16.49%,
synereo,AMP,"$22,453,180 ",$0.27 ,"82,256,324 *","$694,279 ",0.19%,3.02%,-13.91%,
soarcoin,SOAR,"$22,284,714 ",$0.03 ,"712,092,275 *","$32,439 ",1.93%,43.58%,24.37%,
viberate,VIB,"$21,988,663 ",$0.14 ,"160,966,468 *","$3,130,440 ",-0.12%,22.07%,-13.70%,
boolberry,BBR,"$21,850,976 ",$2.04 ,"10,720,038","$33,589 ",-2.88%,-9.44%,-21.03%,
tokencard,TKN,"$21,756,007 ",$0.92 ,"23,644,056 *","$588,318 ",1.73%,8.72%,-4.61%,
everex,EVX,"$21,673,410 ",$1.31 ,"16,500,000 *","$3,021,520 ",2.13%,12.58%,-1.44%,
digitalnote,XDN,"$21,561,041 ",$0.00 ,"6,885,695,758","$7,408,160 ",0.75%,9.83%,4.79%,
ixledger,IXT,"$21,524,910 ",$0.60 ,"35,778,844 *","$355,667 ",1.64%,7.22%,17.48%,
rubycoin,RBY,"$21,343,970 ",$0.85 ,"25,075,270 *","$65,969 ",3.23%,1.18%,-6.14%,
