Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
cryptogenic-bullion,CBX,"$2,966,509 ",$2.95 ,"1,005,804","$7,505 ",1.94%,46.53%,60.27%,
crave,CRAVE,"$2,961,689 ",$2.04 ,"1,453,404 *","$2,442 ",2.01%,4.35%,31.88%,
hyperstake,HYP,"$2,919,165 ",$0.00 ,"1,076,019,273 *","$8,358 ",2.10%,21.55%,16.26%,
rustbits,RUSTBITS,"$2,915,989 ",$0.08 ,"35,300,866 *","$6,278 ",0.30%,16.58%,-2.41%,
greencoin,GRE,"$2,868,709 ",$0.00 ,"3,609,356,641 *","$1,965 ",39.44%,158.66%,101.02%,
yocoin,YOC,"$2,860,498 ",$0.03 ,"108,997,500 *","$18,742 ",1.70%,-16.62%,-21.27%,
paccoin,PAC,"$2,835,655 ",8.80E-07,"3,232,535,919,690","$7,373 ",2.72%,12.82%,5.28%,
flypme,FYP,"$2,802,539 ",$0.16 ,"17,638,681 *","$13,477 ",13.12%,33.43%,68.20%,
audiocoin,ADC,"$2,784,693 ",$0.00 ,"836,613,521","$2,913 ",-6.57%,6.10%,11.75%,
smartbillions,SMART,"$2,661,867 ",$0.41 ,"6,482,744 *","$3,628 ",2.16%,7.87%,3.24%,
dnotes,NOTE,"$2,661,263 ",$0.02 ,"129,787,315","$4,881 ",1.35%,9.36%,46.20%,
fantomcoin,FCN,"$2,523,532 ",$0.41 ,"6,190,179","$9,452 ",11.45%,13.07%,32.41%,
royal-kingdom-coin,RKC,"$2,520,774 ",$0.93 ,"2,700,000 *","$8,895 ",0.17%,28.53%,36.97%,
woodcoin,LOG,"$2,456,760 ",$0.31 ,"8,035,193","$11,348 ",2.10%,3.03%,6.38%,
luckchain,BASH,"$2,438,491 ",$0.00 ,"715,868,299","$7,479 ",1.87%,-8.09%,34.42%,
fundyourselfnow,FYN,"$2,401,862 ",$2.83 ,"850,000 *","$12,746 ",-0.44%,8.62%,40.51%,
ufo-coin,UFO,"$2,380,934 ",$0.00 ,"3,504,233,762","$4,192 ",-12.46%,9.70%,89.54%,
flik,FLIK,"$2,378,577 ",$0.04 ,"60,123,682 *","$15,655 ",-6.90%,-11.41%,-15.63%,
growers-international,GRWI,"$2,352,467 ",$2.06 ,"1,144,591 *","$225,249 ",-3.94%,71.17%,91.20%,
eboostcoin,EBST,"$2,348,160 ",$0.20 ,"12,000,000 *","$758,701 ",-7.64%,17.95%,32.74%,
megacoin,MEC,"$2,345,818 ",$0.06 ,"36,401,775","$5,539 ",1.90%,-2.34%,3.57%,
tracto,TRCT,"$2,326,481 ",$0.52 ,"4,476,783 *","$7,067 ",1.73%,13.67%,12.62%,
cryptonite,XCN,"$2,242,336 ",$0.01 ,"374,640,502","$4,942 ",2.16%,-3.28%,-16.16%,
fastcoin,FST,"$2,212,071 ",$0.01 ,"156,913,424","$6,919 ",4.16%,-7.28%,35.51%,
worldcoin,WDC,"$2,205,732 ",$0.02 ,"117,592,609","$5,091 ",0.50%,-1.18%,-3.30%,
altcoin,ALT,"$2,199,570 ",$18.00 ,"122,175 *","$2,589 ",9.96%,-17.14%,-6.26%,
privatix,PRIX,"$2,198,875 ",$1.86 ,"1,182,668 *","$20,930 ",1.37%,12.99%,40.43%,
unity-ingot,UNY,"$2,190,932 ",$0.01 ,"202,000,000 *","$21,569 ",-0.57%,-5.23%,53.21%,
piplcoin,PIPL,"$2,165,771 ",$0.03 ,"83,444,258 *","$5,559 ",14.93%,4.49%,-29.28%,
canada-ecoin,CDN,"$2,115,067 ",$0.02 ,"97,415,544","$9,791 ",2.58%,10.86%,69.73%,
equitrader,EQT,"$2,088,164 ",$0.21 ,"9,871,950","$9,599 ",-4.76%,2.31%,5.47%,
bowhead,AHT,"$2,082,184 ",$0.26 ,"8,000,000 *","$2,202 ",0.59%,-8.61%,105.95%,
neverdie,NDC,"$2,075,489 ",$0.05 ,"41,004,200 *","$3,892 ",11.99%,72.39%,46.71%,
smart-investment-fund-token,SIFT,"$2,067,298 ",$2.86 ,"722,935 *",$635 ,-0.49%,7.11%,-17.32%,
sumokoin,SUMO,"$2,008,474 ",$0.80 ,"2,508,598","$12,751 ",0.61%,0.53%,2.46%,
espers,ESP,"$1,985,610 ",$0.00 ,"20,815,158,384",$897 ,2.48%,0.37%,15.07%,
intelligent-trading-tech,ITT,"$1,853,958 ",$0.19 ,"9,797,899 *",$511 ,-0.44%,4.54%,3.20%,
visio,VISIO,"$1,852,813 ",$0.04 ,"50,858,280 *","$5,348 ",12.61%,20.78%,9.19%,
42-coin,42,"$1,847,302 ","$43,983.40 ",42,"$5,323 ",1.58%,0.68%,90.41%,
wavesgo,WGO,"$1,829,631 ",$0.19 ,"9,632,680 *","$3,201 ",0.38%,6.11%,11.11%,
elementrem,ELE,"$1,796,902 ",$0.07 ,"25,801,583","$2,604 ",-5.79%,-7.44%,39.09%,
bytecent,BYC,"$1,786,226 ",$0.94 ,"1,902,622","$217,604 ",-1.56%,27.41%,19.68%,
link-platform,LNK,"$1,778,151 ",$37.43 ,"47,503 *","$1,299 ",-0.45%,3.92%,27.75%,
ellaism,ELLA,"$1,773,050 ",$0.63 ,"2,836,340","$27,219 ",0.83%,-3.13%,-9.45%,
hubii-network,HBT,"$1,772,070 ",$0.14 ,"13,097,723 *","$7,989 ",-0.43%,-4.52%,1.43%,
footy-cash,XFT,"$1,733,465 ",$0.38 ,"4,554,404","$19,988 ",2.13%,6.80%,97.43%,
bata,BTA,"$1,733,077 ",$0.35 ,"4,985,249","$10,220 ",20.97%,5.31%,84.23%,
adelphoi,ADL,"$1,726,732 ",$0.07 ,"23,472,224 *",$694 ,0.12%,13.55%,-29.07%,
coin,CNO,"$1,702,491 ",$0.02 ,"105,168,018",$517 ,2.16%,6.75%,41.82%,
legends-room,LGD,"$1,688,406 ",$0.84 ,"2,000,000 *","$133,033 ",-0.27%,3.33%,-13.18%,
zetacoin,ZET,"$1,683,504 ",$0.01 ,"167,201,754","$8,703 ",2.05%,13.06%,33.04%,
linda,LINDA,"$1,661,593 ",$0.00 ,"6,003,429,666","$6,435 ",26.15%,63.14%,-1.92%,
ethbits,ETBS,"$1,642,635 ",$1.18 ,"1,391,604 *","$12,891 ",20.84%,53.52%,44.87%,
remicoin,RMC,"$1,604,108 ",$0.81 ,"1,979,224 *","$1,590 ",2.10%,85.08%,14.75%,
unitus,UIS,"$1,592,783 ",$0.03 ,"46,785,866","$15,670 ",1.65%,33.53%,57.59%,
giga-watt-token,WTT,"$1,583,442 ",$1.76 ,"900,000 *","$35,687 ",-3.75%,-4.14%,16.10%,
kobocoin,KOBO,"$1,581,843 ",$0.06 ,"24,700,248 *","$4,126 ",50.19%,17.65%,137.57%,
hicoin,XHI,"$1,579,159 ",$0.01 ,"189,729,990","$207,042 ",2.11%,12.90%,-7.28%,
draftcoin,DFT,"$1,569,400 ",$0.70 ,"2,231,473 *","$3,049 ",11.75%,-18.65%,-31.72%,
skincoin,SKIN,"$1,564,807 ",$0.02 ,"88,183,483 *","$50,163 ",1.05%,5.68%,16.80%,
1337,1337,"$1,563,785 ",$0.00 ,"23,751,573,481 *","$5,213 ",1.16%,-6.71%,11.12%,
condensate,RAIN,"$1,535,792 ",$0.02 ,"87,524,461","$3,625 ",-9.43%,-3.25%,57.77%,
signatum,SIGT,"$1,522,351 ",$0.01 ,"107,972,766 *","$3,841 ",-1.47%,4.19%,-5.72%,
arcticcoin,ARC,"$1,521,233 ",$0.06 ,"24,587,649","$45,307 ",0.02%,0.31%,14.82%,
linx,LINX,"$1,518,220 ",$0.12 ,"12,854,400","$28,115 ",-2.20%,-0.37%,1.13%,
embers,MBRS,"$1,503,160 ",$0.03 ,"50,000,000 *","$5,495 ",-4.06%,-9.04%,-17.09%,
miners-reward-token,MRT,"$1,480,710 ",$0.15 ,"10,000,000 *","$15,596 ",0.80%,-1.29%,28.70%,
intensecoin,ITNS,"$1,476,594 ",$0.01 ,"271,654,424","$8,371 ",5.39%,21.16%,69.63%,
solaris,XLR,"$1,473,901 ",$1.80 ,"818,670","$23,883 ",13.96%,13.72%,52.34%,
interstellar-holdings,HOLD,"$1,471,540 ",$0.02 ,"66,610,820","$40,876 ",0.93%,-6.68%,-20.29%,
cryptocarbon,CCRB,"$1,460,686 ",$0.41 ,"3,562,111 *","$68,495 ",2.12%,5.01%,68.77%,
zero,ZER,"$1,460,144 ",$0.73 ,"1,991,680","$7,971 ",2.20%,-8.02%,87.42%,
alqo,ALQO,"$1,458,882 ",$0.13 ,"11,238,594","$35,116 ",-1.04%,5.82%,50.53%,
deutsche-emark,DEM,"$1,429,244 ",$0.04 ,"32,408,715","$6,612 ",4.79%,22.47%,164.43%,
ultracoin,UTC,"$1,428,036 ",$0.03 ,"44,677,091","$3,523 ",0.78%,41.91%,2.94%,
denarius,DNR,"$1,426,054 ",$0.72 ,"1,978,057","$6,826 ",-7.66%,1.07%,-0.79%,
adzcoin,ADZ,"$1,422,133 ",$0.03 ,"43,633,622","$6,267 ",0.59%,12.41%,16.69%,
renos,RNS,"$1,417,450 ",$0.04 ,"33,356,077 *","$15,139 ",2.16%,11.20%,45.06%,
fujicoin,FJC,"$1,395,678 ",$0.00 ,"1,216,319,771","$4,835 ",4.73%,18.93%,86.03%,
xgox,XGOX,"$1,379,184 ",$0.00 ,"674,516,463","$16,637 ",-7.62%,-4.08%,-52.22%,
bitradio,BRO,"$1,377,769 ",$0.23 ,"5,922,193 *","$3,584 ",1.97%,79.71%,66.65%,
monacocoin,XMCC,"$1,371,194 ",$0.51 ,"2,668,093","$9,074 ",0.50%,7.08%,69.21%,
unbreakablecoin,UNB,"$1,355,167 ",$0.59 ,"2,278,150","$1,259,070 ",-1.55%,-1.26%,58.90%,
bitbar,BTB,"$1,314,053 ",$37.10 ,"35,422","$1,069 ",1.76%,8.41%,54.02%,
qvolta,QVT,"$1,279,596 ",$0.19 ,"6,731,528 *","$1,606 ",0.63%,-1.84%,20.10%,
pure,PURE,"$1,277,382 ",$0.45 ,"2,821,821","$8,870 ",-5.67%,4.14%,8.89%,
bitcurrency,BTCR,"$1,267,561 ",$0.01 ,"169,598,616 *","$1,642 ",17.33%,20.15%,-28.51%,
influxcoin,INFX,"$1,255,473 ",$0.75 ,"1,673,383","$162,432 ",-7.21%,4.91%,-7.33%,
ccore,CCO,"$1,244,220 ",$1.24 ,"1,000,000 *","$39,387 ",0.82%,-4.68%,37.58%,
orbitcoin,ORB,"$1,208,574 ",$0.39 ,"3,095,914","$3,573 ",2.27%,0.04%,22.26%,
oyster-pearl,PRL,"$1,206,118 ",$0.04 ,"29,973,026 *","$19,487 ",3.46%,9.68%,217.58%,
starcredits,STRC,"$1,191,663 ",$0.26 ,"4,500,000 *",$860 ,2.10%,-1.35%,32.39%,
insanecoin,INSN,"$1,187,968 ",$0.06 ,"18,379,671","$1,791 ",2.11%,3.80%,31.73%,
gimli,GIM,"$1,173,360 ",$0.01 ,"80,000,000 *",$831 ,1.90%,-11.27%,183.97%,
mazacoin,MZC,"$1,146,813 ",$0.00 ,"1,349,573,390","$1,008 ",1.88%,20.48%,41.87%,
litedoge,LDOGE,"$1,138,783 ",$0.00 ,"14,900,990,015 *","$2,995 ",4.85%,30.14%,24.64%,
mao-zedong,MAO,"$1,131,974 ",$0.18 ,"6,228,123",$731 ,2.11%,6.25%,41.22%,
kekcoin,KEK,"$1,131,753 ",$0.11 ,"10,443,318 *","$1,749 ",9.66%,0.06%,6.49%,
pandacoin-pnd,PND,"$1,127,211 ",$0.00 ,"32,514,916,898","$1,386 ",-1.56%,-11.50%,-6.05%,
magnet,MAG,"$1,102,452 ",$0.24 ,"4,603,063","$28,983 ",-3.51%,-9.79%,-57.34%,
vsync,VSX,"$1,095,960 ",$0.01 ,"98,964,274","$3,873 ",2.11%,8.35%,111.39%,
digitalprice,DP,"$1,088,571 ",$0.06 ,"17,493,574 *","$17,409 ",-7.53%,-2.62%,23.85%,
petrodollar,XPD,"$1,075,401 ",$0.02 ,"63,993,275","$87,304 ",3.40%,23.47%,-70.46%,
roulettetoken,RLT,"$1,074,539 ",$0.11 ,"10,217,164 *","$15,434 ",-0.75%,4.59%,-8.10%,
netcoin,NET,"$1,066,801 ",$0.00 ,"787,126,712","$1,034 ",1.64%,10.40%,51.68%,
postoken,POS,"$1,022,073 ",$1.18 ,"868,778 *","$84,270 ",15.66%,-16.07%,42.20%,
eltcoin,ELTCOIN,"$1,004,949 ",$0.01 ,"90,000,000 *","$132,537 ",-11.98%,-10.82%,17.45%,
phoenixcoin,PXC,"$1,003,800 ",$0.02 ,"62,573,615","$3,516 ",27.49%,34.79%,11.26%,
xios,XIOS,"$995,787 ",$0.46 ,"2,149,688","$6,811 ",4.74%,11.05%,9.47%,
britcoin,BRIT,"$986,335 ",$0.05 ,"21,268,092","$1,937 ",2.10%,10.70%,295.88%,
accelerator-network,ACC,"$967,934 ",$4.47 ,"216,607 *","$1,594 ",4.50%,5.71%,-31.99%,
nubits,USNBT,"$966,285 ",$1.01 ,"960,923 *","$433,576 ",0.59%,0.91%,-0.71%,
smartcoin,SMC,"$937,576 ",$0.04 ,"23,586,345",$563 ,-6.72%,8.76%,33.93%,
hobonickels,HBN,"$922,750 ",$0.02 ,"59,696,358","$1,234 ",2.16%,4.87%,34.88%,
unify,UNIFY,"$894,619 ",$0.05 ,"17,787,968 *","$12,162 ",-11.95%,7.49%,-2.91%,
trackr,TKR,"$888,458 ",$0.07 ,"12,529,747 *","$10,302 ",-4.61%,4.78%,-12.30%,
zozocoin,ZZC,"$866,527 ",$1.62 ,"536,310","$25,650 ",1.76%,6.21%,-9.20%,
moin,MOIN,"$863,074 ",$0.12 ,"7,302,920 *","$1,997 ",5.26%,4.25%,8.85%,
minereum,MNE,"$834,750 ",$0.51 ,"1,637,873 *","$9,941 ",2.64%,-12.20%,-13.84%,
emphy,EPY,"$830,910 ",$0.11 ,"7,636,898 *","$1,795 ",-0.44%,-7.51%,-5.84%,
maxcoin,MAX,"$820,970 ",$0.01 ,"61,179,693","$1,190 ",2.16%,-35.87%,-6.77%,
bitcoin-scrypt,BTCS,"$814,187 ",$0.05 ,"16,483,650","$3,832 ",-4.47%,28.40%,100.31%,
machinecoin,MAC,"$795,943 ",$0.04 ,"20,241,200",$812 ,2.08%,-27.92%,-7.89%,
sovereign-hero,HERO,"$795,802 ",$166.73 ,"4,773 *","$1,277 ",-0.13%,4.34%,-7.99%,
fuelcoin,FC2,"$794,147 ",$0.01 ,"101,636,239",$892 ,2.10%,-3.38%,47.70%,
payfair,PFR,"$791,812 ",$0.01 ,"56,000,000 *","$22,299 ",4.45%,-0.91%,-2.37%,
capricoin,CPC,"$787,270 ",$0.40 ,"1,990,045 *","$112,116 ",-0.49%,-7.57%,-9.84%,
whalecoin,WHL,"$785,650 ",$0.18 ,"4,327,768","$148,881 ",-0.56%,11.32%,4.57%,
bitbtc,BITBTC,"$775,461 ","$16,784.00 ",46 *,"$8,373 ",-0.05%,-1.95%,36.24%,
ethbet,EBET,"$763,314 ",$0.09 ,"8,502,500 *","$1,801 ",-0.44%,-8.46%,-3.12%,
altcommunity-coin,ALTCOM,"$744,742 ",$5.27 ,"141,439","$8,499 ",2.10%,7.64%,120.28%,
embercoin,EMB,"$725,640 ",$0.00 ,"92,192,822,723 *","$32,821 ",3.28%,64.58%,90.23%,
fujinto,NTO,"$719,701 ",$0.01 ,"65,802,448 *","$8,929 ",9.27%,-5.26%,31.05%,
sprouts,SPRTS,"$704,581 ",4.90E-07,"1,423,693,077,950 *","$54,247 ",0.17%,252.06%,290.99%,
authorship,ATS,"$696,341 ",$0.01 ,"80,000,000 *","$6,732 ",-8.98%,11.21%,31.25%,
smileycoin,SMLY,"$681,682 ",$0.00 ,"25,960,250,000","$2,426 ",-0.85%,9.81%,18.99%,
bolivarcoin,BOLI,"$677,853 ",$0.08 ,"8,476,300","$3,424 ",2.02%,9.07%,212.28%,
octanox,OTX,"$664,158 ",$0.08 ,"8,500,001 *","$3,231 ",2.10%,-6.38%,30.81%,
bitcoinfast,BCF,"$655,045 ",$0.14 ,"4,789,004","$12,293 ",-15.92%,12.89%,79.27%,
fluttercoin,FLT,"$653,348 ",$0.00 ,"322,214,524",$597 ,6.30%,42.78%,81.53%,
joulecoin,XJO,"$648,378 ",$0.02 ,"34,484,332","$2,306 ",2.06%,3.88%,-19.38%,
mutual-coin,MUT,"$631,022 ",$0.00 ,"371,492,968","$123,092 ",-33.77%,-26.38%,-76.89%,
biblepay,BBP,"$616,721 ",$0.00 ,"279,280,503","$22,361 ",2.10%,-21.52%,66.69%,
corgicoin,CORG,"$607,642 ",$0.00 ,"1,251,855,418 *","$1,492 ",2.55%,213.86%,255.16%,
helleniccoin,HNC,"$600,671 ",$0.01 ,"64,179,380","$1,245 ",-12.83%,0.41%,-6.83%,
titcoin,TIT,"$596,743 ",$0.01 ,"49,898,202","$1,476 ",3.25%,2.34%,64.54%,
litebar,LTB,"$594,893 ",$0.73 ,"814,238","$1,247 ",2.15%,38.24%,119.71%,
pakcoin,PAK,"$586,420 ",$0.01 ,"44,860,100","$2,499 ",2.02%,8.23%,50.92%,
digitalcoin,DGC,"$582,025 ",$0.02 ,"27,452,063","$1,566 ",2.12%,20.70%,78.09%,
inflationcoin,IFLT,"$571,870 ",$0.00 ,"34,095,086,394 *","$4,563 ",-10.76%,-86.05%,58.60%,
veltor,VLT,"$570,202 ",$1.03 ,"554,855","$1,503 ",2.11%,-5.64%,-20.17%,
leviarcoin,XLC,"$569,496 ",$0.06 ,"9,914,336","$1,374 ",12.64%,59.67%,101.49%,
trumpcoin,TRUMP,"$545,982 ",$0.08 ,"6,549,230","$3,718 ",1.43%,11.63%,14.56%,
crystal-clear,CCT,"$540,467 ",$0.21 ,"2,593,099 *","$19,871 ",-0.38%,-13.04%,-29.54%,
cryptoforecast,CFT,"$539,028 ",$0.01 ,"46,000,000 *","$2,869 ",1.92%,33.62%,46.82%,
netko,NETKO,"$534,597 ",$0.12 ,"4,382,590","$1,632 ",2.11%,5.01%,-9.77%,
the-cypherfunks,FUNK,"$531,962 ",$0.00 ,"46,327,632,499",$514 ,-0.74%,18.68%,96.00%,
bolenum,BLN,"$524,871 ",$0.05 ,"10,000,000 *","$20,588 ",-14.29%,19.31%,0.70%,
rubies,RBIES,"$522,725 ",$0.05 ,"10,415,252 *","$2,056 ",5.20%,98.09%,103.12%,
ethereum-gold,ETG,"$509,737 ",$0.04 ,"12,000,000 *","$5,973 ",-2.97%,31.60%,24.15%,
swagbucks,BUCKS,"$509,291 ",$1.57 ,"323,532","$1,943 ",1.97%,2.32%,27.91%,
daxxcoin,DAXX,"$505,749 ",$0.00 ,"498,486,520",$768 ,12.88%,10.19%,55.97%,
kushcoin,KUSH,"$504,445 ",$0.09 ,"5,450,387",$912 ,22.61%,36.33%,37.49%,
cannacoin,CCN,"$504,215 ",$0.11 ,"4,700,079","$1,307 ",-13.75%,-21.62%,-43.83%,
8bit,8BIT,"$497,125 ",$0.34 ,"1,467,841 *",$906 ,1.39%,9.17%,46.97%,
evotion,EVO,"$483,499 ",$0.15 ,"3,171,752","$1,975 ",61.02%,63.28%,95.38%,
elcoin,EL,"$473,332 ",$0.04 ,"11,208,967 *","$1,256 ",0.66%,-4.72%,10.87%,
bitstar,BITS,"$462,557 ",$0.02 ,"23,079,737","$1,175 ",2.09%,12.96%,-18.06%,
cannation,CNNC,"$433,365 ",$0.17 ,"2,476,893","$245,412 ",-15.76%,133.10%,215.06%,
tychocoin,TYCHO,"$427,576 ",$0.09 ,"5,024,368","$1,902 ",-25.81%,-29.19%,-6.26%,
iethereum,IETH,"$426,857 ",$0.02 ,"17,982,000 *","$16,485 ",0.08%,26.12%,169.73%,
colossuscoinxt,COLX,"$417,285 ",$0.00 ,"4,027,031,669","$9,471 ",-10.47%,-2.32%,-24.89%,
zurcoin,ZUR,"$415,074 ",$0.00 ,"87,230,598","$5,156 ",2.77%,13.86%,40.95%,
upfiring,UFR,"$408,717 ",$0.03 ,"14,400,000 *",$950 ,-2.33%,5.95%,23.09%,
happycoin,HPC,"$407,606 ",$0.03 ,"13,030,169","$7,487 ",-1.21%,-36.79%,-45.25%,
atomic-coin,ATOM,"$406,750 ",$0.03 ,"13,325,198","$12,237 ",-0.69%,11.98%,71.49%,
ethereumcash,ECASH,"$406,217 ",$0.03 ,"14,100,000 *","$8,516 ",15.13%,16.56%,35.11%,
billionaire-token,XBL,"$404,837 ",$0.12 ,"3,315,372 *","$3,891 ",9.54%,7.99%,-33.34%,
senderon,SDRN,"$388,062 ",$0.01 ,"38,072,900 *","$8,885 ",3.34%,-30.57%,45.53%,
sagacoin,SAGA,"$388,040 ",$1.75 ,"221,789","$164,343 ",-12.60%,-3.82%,?,
dalecoin,DALC,"$385,124 ",$0.94 ,"409,217 *",$901 ,4.72%,-7.99%,-18.80%,
chesscoin,CHESS,"$383,147 ",$0.01 ,"54,032,769 *","$1,268 ",-3.12%,-26.44%,20.36%,
newbium,NEWB,"$382,188 ",$0.01 ,"50,000,000 *","$2,464 ",2.16%,-21.76%,28.21%,
litecoin-plus,LCP,"$371,007 ",$0.49 ,"754,902 *","$9,837 ",2.45%,18.01%,229.77%,
bit20,BTWTY,"$369,527 ","$363,708 ",1 *,"$1,764 ",-6.43%,-6.30%,-5.34%,
808coin,808,"$361,443 ",$0.00 ,"3,978,187,849","$2,130 ",1.16%,2.73%,38.55%,
bitgem,BTG,"$357,633 ",$6.01 ,"59,481","$5,221 ",-3.66%,-5.37%,9.00%,
briacoin,BRIA,"$353,310 ",$0.58 ,"612,667 *","$1,493 ",0.15%,4.47%,-25.73%,
mincoin,MNC,"$351,123 ",$0.09 ,"4,035,207",$817 ,-16.26%,78.79%,90.43%,
octocoin,888,"$349,132 ",$0.01 ,"50,419,940","$1,148 ",1.33%,10.30%,38.76%,
confido,CFD,"$348,025 ",$0.04 ,"9,000,000 *","$3,383 ",-0.39%,48.26%,191.53%,
ethereum-dark,ETHD,"$344,984 ",$0.23 ,"1,500,000","$37,253 ",0.22%,12.23%,2.90%,
chancoin,4CHN,"$338,574 ",$0.05 ,"6,897,632","$1,075 ",1.83%,43.50%,70.97%,
freicoin,FRC,"$331,746 ",$0.01 ,"29,591,640",$574 ,2.11%,-8.76%,46.60%,
digital-developers-fund,DDF,"$328,806 ",$0.06 ,"5,118,307 *","$1,607 ",-0.14%,-6.35%,-28.53%,
tigercoin,TGC,"$325,389 ",$0.01 ,"43,536,800","$1,777 ",2.10%,-53.41%,12.09%,
truckcoin,TRK,"$320,596 ",$0.00 ,"157,747,819 *",$569 ,2.03%,22.25%,14.59%,
gapcoin,GAP,"$312,111 ",$0.03 ,"12,088,487","$1,152 ",2.10%,-5.21%,101.29%,
triangles,TRI,"$308,797 ",$4.24 ,"72,891",$555 ,2.19%,-0.99%,29.53%,
bunnycoin,BUN,"$305,856 ",$0.00 ,"102,329,699,805",$602 ,-1.61%,-1.41%,2.30%,
postcoin,POST,"$303,810 ",$0.02 ,"15,868,233 *","$4,907 ",2.44%,-0.79%,-4.06%,
tagcoin,TAG,"$298,466 ",$0.05 ,"5,964,568","$13,921 ",4.06%,18.38%,-63.47%,
blakestar,BLAS,"$291,571 ",$0.00 ,"247,062,346","$3,663 ",1.77%,6.04%,-4.18%,
pascal-lite,PASL,"$286,735 ",$0.07 ,"4,328,350","$2,052 ",2.16%,5.48%,69.41%,
kittehcoin,MEOW,"$282,618 ",$0.00 ,"23,905,669,976",$921 ,1.46%,11.22%,28.76%,
eternity,ENT,"$282,031 ",$0.07 ,"4,099,545","$1,108 ",2.10%,6.68%,-32.74%,
ethgas,EGAS,"$281,325 ",$0.03 ,"10,157,540 *","$6,065 ",20.83%,116.70%,255.37%,
kilocoin,KLC,"$268,836 ",$0.00 ,"196,297,971","$3,538 ",2.10%,10.50%,9.13%,
bitcoin-21,XBTC21,"$267,820 ",$0.34 ,"793,108 *","$1,551 ",2.16%,20.13%,71.20%,
bitsilver,BITSILVER,"$265,256 ",$22.75 ,"11,661 *","$59,522 ",-0.04%,-2.00%,8.51%,
zcash-gold,ZCG,"$261,747 ",$0.13 ,"2,007,615 *","$4,252 ",-4.50%,-6.13%,-17.25%,
global-tour-coin,GTC,"$253,835 ",$0.01 ,"29,887,402","$1,934 ",2.10%,14.24%,97.43%,
philosopher-stones,PHS,"$251,315 ",$0.04 ,"6,014,340 *","$1,818 ",2.11%,1.05%,46.98%,
virtacoinplus,XVP,"$245,932 ",$0.02 ,"10,928,643","$2,517 ",2.05%,-1.48%,13.66%,
revolvercoin,XRE,"$242,802 ",$0.01 ,"22,337,728","$3,807 ",3.77%,25.32%,65.38%,
litecred,LTCR,"$240,184 ",$0.01 ,"30,227,750","$189,053 ",-24.97%,367.30%,331.36%,
mojocoin,MOJO,"$234,395 ",$0.02 ,"12,137,600 *",$960 ,2.04%,-6.15%,-20.33%,
hempcoin,HMP,"$230,441 ",$0.00 ,"1,356,645,470",$521 ,2.16%,9.67%,48.78%,
funcoin,FUNC,"$226,490 ",$0.04 ,"5,848,581 *","$3,309 ",-0.76%,3.93%,51.38%,
platinumbar,XPTX,"$225,305 ",$0.53 ,"428,338","$1,854 ",1.81%,-33.06%,-25.75%,
bitcoin-planet,BTPL,"$218,256 ",$0.04 ,"5,623,548",$808 ,1.97%,12.96%,100.29%,
islacoin,ISL,"$202,353 ",$0.13 ,"1,513,704 *",$544 ,2.16%,?,?,
mineum,MNM,"$199,922 ",$0.02 ,"9,436,367","$1,324 ",2.09%,36.84%,4.58%,
campuscoin,CMPCO,"$198,491 ",$0.00 ,"292,179,045","$2,550 ",1.95%,-5.48%,-11.35%,
monkey-project,MONK,"$197,248 ",$1.86 ,"105,797","$21,416 ",8.03%,94.04%,-55.47%,
honey,HONEY,"$195,435 ",$0.57 ,"343,572","$4,974 ",-4.48%,4.14%,14.41%,
droxne,DRXNE,"$193,363 ",$0.00 ,"63,369,754 *","$1,791 ",2.00%,8.76%,39.83%,
ecocoin,ECO,"$193,119 ",$0.17 ,"1,150,675","$18,674 ",2.73%,-12.18%,-36.38%,
usde,USDE,"$192,662 ",$0.00 ,"1,134,236,104","$1,095 ",2.16%,9.67%,38.13%,
bitcoal,COAL,"$190,256 ",$0.04 ,"4,500,000","$4,965 ",7.17%,7.66%,94.49%,
bittokens,BXT,"$185,880 ",$0.33 ,"563,277","$2,419 ",-77.03%,-45.26%,-36.43%,
securecoin,SRC,"$179,146 ",$0.02 ,"8,247,056","$1,965 ",-28.41%,-17.85%,47.44%,
ebitcoin-cash,EBCH,"$176,751 ",$0.02 ,"9,285,500 *","$3,663 ",-0.48%,-12.18%,25.52%,
debitcoin,DBTC,"$173,624 ",$0.01 ,"17,999,629",$549 ,2.47%,-7.14%,7.76%,
cachecoin,CACH,"$165,133 ",$0.04 ,"4,195,132","$1,490 ",2.18%,-10.44%,20.85%,
quatloo,QTL,"$162,219 ",$0.02 ,"7,718,883",$868 ,-1.73%,33.42%,67.81%,
c-bit,XCT,"$162,011 ",$0.00 ,"157,223,250",$601 ,-2.46%,-3.27%,27.92%,
scorecoin,SCORE,"$156,591 ",$0.01 ,"30,346,591","$3,324 ",2.15%,-7.33%,31.90%,
tajcoin,TAJ,"$155,101 ",$0.02 ,"8,074,669","$2,123 ",2.01%,29.53%,81.83%,
piecoin,PIE,"$154,960 ",$0.01 ,"13,415,750 *","$3,675 ",-10.99%,10.61%,89.70%,
bipcoin,BIP,"$154,465 ",$0.09 ,"1,627,261","$1,044 ",1.94%,9.41%,106.39%,
kayicoin,KAYI,"$151,489 ",$0.00 ,"284,253,266 *","$1,518 ",-16.86%,-17.36%,10.78%,
