,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
genstake,3.47846986,46075.9630034,genstake,4.6e-07,0.00609318,766,7561891.0,0.0,0.0,7561891.0
zayedcoin,2.87216640026,42613.8333734,zayedcoin,4.6e-07,0.00682494,767,6243840.00056,0.0049172,72.9557,6243840.00056
wild-beast-block,2.8645413923,42500.7577409,wild-beast-block,1.604e-05,0.237983,768,178587.368597,0.0071938,106.733,178587.368597
arbit,2.7326871,40544.3962638,arbit,3.4e-07,0.00504452,769,8037315.0,0.0170799,253.412,8037315.0
tagrcoin,2.70687436582,40161.5082693,tagrcoin,7e-08,0.00103858,770,38669633.7974,0.00448057,66.4774,38669633.7974
letitride,2.54717407178,37792.0578209,letitride,7e-08,0.00103858,771,36388201.0254,0.00189,28.0416,36388201.0254
zonecoin,2.47869156831,36776.0369625,zonecoin,9.6e-07,0.0142434,772,2581970.38365,0.006699,99.3919,2581970.38365
posex,2.45324013869,36398.2332897,posex,1e-06,0.0148368,773,2453240.13869,0.0007,10.3858,2453240.13869
kingn-coin,2.23890354593,33218.2405788,kingn-coin,0.00089265,13.2441,774,2508.15386314,0.00361376,53.6167,2008.15386314
antilitecoin,1.89075679547,28052.8434482,antilitecoin,6e-08,0.00089021,777,31512613.2578,0.00537731,79.7822,31512613.2578
gbcgoldcoin,1.83022960667,27154.8555569,gbcgoldcoin,1.61086e-07,0.00239001,778,11361816.7108,0.000644357,9.56021,11361816.7108
ibank,1.76526636,26190.9401406,ibank,3.9e-07,0.00578636,779,4526324.0,0.0273967,406.481,4526324.0
pizzacoin,1.72174592134,25545.2403974,pizzacoin,1.7e-07,0.00252226,780,10127917.1844,0.0155352,230.492,1377917.18436
sojourn,1.65359004,24533.9915244,sojourn,1.94e-06,0.0287834,781,852366.0,0.0287013,425.836,485214.0
sydpak,1.58358932796,23495.5069128,sydpak,9.9e-06,0.146885,782,159958.517975,0.0014023,20.8057,159958.517975
p7coin,1.40880952,20902.2603066,p7coin,4e-08,0.000593473,784,35220238.0,0.001264,18.7537,35220238.0
cabbage,1.2599995092,18694.4027181,cabbage,1.2e-07,0.00178042,785,10499995.91,0.00753296,111.765,10499995.91
biobar,1.19276509154,17760.5679399,biobar,1.21e-06,0.0180172,786,985756.274,0.0,0.0,885756.274
concoin,1.19644928352,17751.4787297,concoin,7.5e-07,0.0111276,787,1595265.71136,0.0283316,420.351,744265.711357
selfiecoin,1.07829280731,15998.4147235,selfiecoin,1e-08,0.000148368,788,107829280.731,0.00780145,115.749,107829280.731
socialcoin-socc,0.88632232623,13150.2120176,socialcoin-socc,6.4e-07,0.00949557,789,1384878.63473,0.0117904,174.933,1384878.63473
save-and-gain,0.67425600858,10003.8138073,save-and-gain,2.2e-07,0.0032641,791,3064800.039,0.0160706,238.437,3064800.039
