,CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,VolRatio,SupplyRatio
vaperscoin," 780,124,964.00 ", 37.73 ," 561,528.07 ",vaperscoin,, 0.00000002 , 0.00 , 520.00 ," 1,635,124,964.00 ", 1.84 ," 27,341.50 ",4.87%,47.71%
marijuanacoin," 1,613,254.73 ", 37.63 ," 560,015.57 ",marijuanacoin,, 0.00002332 , 0.35 , 521.00 ," 1,613,254.73 ", 2.17 ," 32,256.10 ",5.76%,100.00%
tekcoin," 1,414,054,561.52 ", 36.71 ," 546,359.57 ",tekcoin,, 0.00000003 , 0.00 , 524.00 ," 1,414,054,561.52 ", 4.24 ," 63,118.50 ",11.55%,100.00%
kayicoin," 284,332,776.41 ", 35.58 ," 529,555.58 ",kayicoin,, 0.00000013 , 0.00 , 526.00 ," 284,332,776.41 ", 0.91 ," 13,614.60 ",2.57%,100.00%
postcoin," 15,868,232.70 ", 33.76 ," 502,496.15 ",postcoin,, 0.00000213 , 0.03 , 531.00 ," 15,868,232.70 ", 0.71 ," 10,580.50 ",2.11%,100.00%
bitgem," 59,735.34 ", 30.56 ," 454,852.99 ",bitgem,, 0.00051159 , 7.61 , 537.00 ," 59,735.34 ", 0.91 ," 13,585.90 ",2.99%,100.00%
chancoin," 7,127,857.44 ", 29.16 ," 433,973.18 ",chancoin,, 0.00000409 , 0.06 , 540.00 ," 7,127,857.44 ", 0.79 ," 11,818.40 ",2.72%,100.00%
ecocoin," 1,152,132.60 ", 25.52 ," 379,869.75 ",ecocoin,, 0.00002212 , 0.33 , 547.00 ," 1,153,910.82 ", 0.87 ," 12,943.20 ",3.41%,99.85%
coinonat," 8,623,200.00 ", 24.28 ," 361,452.91 ",coinonat,, 0.00000240 , 0.04 , 552.00 ," 10,123,200.00 ", 0.59 ," 8,752.51 ",2.42%,85.18%
virta-unique-coin," 61,537,175.00 ", 21.75 ," 323,673.23 ",virta-unique-coin,, 0.00000035 , 0.01 , 559.00 ," 61,537,175.00 ", 0.60 ," 8,937.18 ",2.76%,100.00%
spots," 22,406,021.24 ", 20.70 ," 308,067.11 ",spots,, 0.00000092 , 0.01 , 564.00 ," 22,406,021.24 ", 2.15 ," 31,976.30 ",10.38%,100.00%
cachecoin," 4,195,132.13 ", 18.57 ," 276,358.94 ",cachecoin,, 0.00000443 , 0.07 , 572.00 ," 4,195,132.13 ", 0.61 ," 9,035.72 ",3.27%,100.00%
argus," 1,148,324.05 ", 18.29 ," 272,208.00 ",argus,, 0.00000352 , 0.05 , 573.00 ," 5,194,373.05 ", 0.63 ," 9,436.83 ",3.47%,22.11%
corgicoin," 1,251,855,418.00 ", 17.51 ," 260,671.35 ",corgicoin,, 0.00000001 , 0.00 , 580.00 ," 1,251,855,418.00 ", 0.71 ," 10,637.80 ",4.08%,100.00%
fuzzballs," 4,829,945.00 ", 17.23 ," 256,502.44 ",fuzzballs,, 0.00000357 , 0.05 , 581.00 ," 4,829,945.00 ", 0.35 ," 5,255.84 ",2.05%,100.00%
kronecoin," 4,136,641.82 ", 16.02 ," 238,460.44 ",kronecoin,, 0.00000387 , 0.06 , 590.00 ," 4,136,641.82 ", 0.59 ," 8,794.05 ",3.69%,100.00%
doubloon," 18,547,845.10 ", 15.77 ," 234,654.35 ",doubloon,, 0.00000085 , 0.01 , 593.00 ," 18,547,845.10 ", 0.57 ," 8,434.65 ",3.59%,100.00%
healthywormcoin," 112,342,291.32 ", 15.73 ," 234,092.13 ",healthywormcoin,, 0.00000014 , 0.00 , 594.00 ," 112,342,291.32 ", 0.49 ," 7,301.83 ",3.12%,100.00%
money," 45,887,217.54 ", 15.55 ," 231,418.42 ",money,, 0.00000034 , 0.01 , 596.00 ," 45,887,217.54 ", 0.32 ," 4,828.56 ",2.09%,100.00%
aerium," 1,521,491.81 ", 15.50 ," 230,748.27 ",aerium,, 0.00000803 , 0.12 , 597.00 ," 1,931,093.30 ", 0.64 ," 9,478.80 ",4.11%,78.79%
solarflarecoin," 14,083,450.00 ", 14.93 ," 222,177.69 ",solarflarecoin,, 0.00000106 , 0.02 , 600.00 ," 14,083,450.00 ", 0.33 ," 4,959.40 ",2.23%,100.00%
warp," 1,095,224.00 ", 14.51 ," 215,990.22 ",warp,, 0.00001325 , 0.20 , 601.00 ," 1,095,224.00 ", 0.88 ," 13,164.80 ",6.10%,100.00%
comet," 872,830.00 ", 14.17 ," 210,837.32 ",comet,, 0.00001623 , 0.24 , 603.00 ," 872,830.00 ", 3.59 ," 53,405.40 ",25.33%,100.00%
benjirolls," 20,276,099.15 ", 12.95 ," 192,775.22 ",benjirolls,, 0.00000064 , 0.01 , 609.00 ," 20,276,099.15 ", 0.31 ," 4,662.12 ",2.42%,100.00%
quazarcoin," 6,044,910.71 ", 12.09 ," 179,943.09 ",quazarcoin,, 0.00000200 , 0.03 , 612.00 ," 6,044,910.71 ", 0.49 ," 7,280.95 ",4.05%,100.00%
slevin," 70,000,000.02 ", 11.90 ," 177,118.20 ",slevin,, 0.00000017 , 0.00 , 613.00 ," 70,000,000.02 ", 1.45 ," 21,586.50 ",12.19%,100.00%
iconic," 592,893.53 ", 11.62 ," 172,961.27 ",iconic,, 0.00001960 , 0.29 , 614.00 ," 592,893.53 ", 0.42 ," 6,323.99 ",3.66%,100.00%
usde," 1,134,236,103.79 ", 11.34 ," 168,818.57 ",usde,, 0.00000001 , 0.00 , 615.00 ," 1,134,236,103.79 ", 0.41 ," 6,099.70 ",3.61%,100.00%
milocoin," 10,789,953.71 ", 10.49 ," 156,129.55 ",milocoin,, 0.00000097 , 0.01 , 618.00 ," 10,789,953.71 ", 0.40 ," 6,025.60 ",3.86%,100.00%
b3coin," 492,991,816.21 ", 8.87 ," 131,960.98 ",b3coin,, 0.00000001 , 0.00 , 625.00 ," 615,794,101.91 ", 46.32 ," 689,396.00 ",522.42%,80.06%
printerium," 11,821,727.88 ", 8.26 ," 122,896.32 ",printerium,, 0.00000070 , 0.01 , 626.00 ," 11,821,727.88 ", 0.49 ," 7,365.89 ",5.99%,100.00%
anarchistsprime," 4,394,873.80 ", 7.77 ," 115,708.68 ",anarchistsprime,, 0.00000177 , 0.03 , 627.00 ," 4,394,873.80 ", 0.53 ," 7,917.37 ",6.84%,100.00%
bnrtxcoin," 27,021,001.00 ", 7.08 ," 105,430.54 ",bnrtxcoin,, 0.00000026 , 0.00 , 629.00 ," 27,021,001.00 ", 0.18 ," 2,616.45 ",2.48%,100.00%
zetamicron," 600,344,291.45 ", 6.00 ," 89,354.64 ",zetamicron,, 0.00000001 , 0.00 , 634.00 ," 600,344,291.45 ", 0.13 ," 1,991.68 ",2.23%,100.00%
women," 44,220,400.29 ", 5.73 ," 85,251.18 ",women,, 0.00000013 , 0.00 , 635.00 ," 44,220,400.29 ", 0.44 ," 6,498.67 ",7.62%,100.00%
piecoin," 11,177,520.21 ", 5.59 ," 83,182.32 ",piecoin,, 0.00000050 , 0.01 , 636.00 ," 11,177,520.21 ", 0.13 ," 2,008.65 ",2.41%,100.00%
geertcoin," 5,091,199.62 ", 5.02 ," 74,736.26 ",geertcoin,, 0.00000099 , 0.01 , 638.00 ," 5,091,199.62 ", 0.41 ," 6,060.92 ",8.11%,100.00%
enigma," 16,626.64 ", 4.98 ," 74,166.11 ",enigma,, 0.00007479 , 1.11 , 639.00 ," 66,626.64 ", 0.26 ," 3,828.63 ",5.16%,24.95%
rsgpcoin," 1,727.91 ", 4.31 ," 64,217.99 ",rsgpcoin,, 0.00199999 , 29.77 , 641.00 ," 2,157.31 ", 0.10 ," 1,561.62 ",2.43%,80.10%
