,ethereum
2016-04-17,9.31
2016-04-16,8.61
2016-04-15,8.24
2016-04-14,8.39
2016-04-13,8.04
2016-04-12,7.44
2016-04-11,8.64
2016-04-10,8.94
2016-04-09,9.15
2016-04-08,9.72
2016-04-07,10.07
2016-04-06,10.69
2016-04-05,10.44
2016-04-04,11.16
2016-04-03,11.62
2016-04-02,11.6
2016-04-01,11.66
2016-03-31,11.4
2016-03-30,11.95
2016-03-29,11.66
2016-03-28,11.67
2016-03-27,10.42
2016-03-26,10.97
2016-03-25,10.74
2016-03-24,11.23
2016-03-23,12.42
2016-03-22,11.27
2016-03-21,11.86
2016-03-20,10.32
2016-03-19,10.53
2016-03-18,11.0
2016-03-17,11.08
2016-03-16,12.52
2016-03-15,13.01
2016-03-14,12.45
2016-03-13,14.47
2016-03-12,13.53
2016-03-11,11.08
2016-03-10,11.3
2016-03-09,11.9
2016-03-08,9.85
2016-03-07,9.55
2016-03-06,11.38
2016-03-05,11.0
2016-03-04,10.41
2016-03-03,9.29
2016-03-02,8.47
2016-03-01,7.65
2016-02-29,6.34
2016-02-28,6.47
2016-02-27,6.43
2016-02-26,5.92
2016-02-25,6.1
2016-02-24,6.24
2016-02-23,5.59
2016-02-22,5.62
2016-02-21,4.65
2016-02-20,4.34
2016-02-19,4.74
2016-02-18,4.4
2016-02-17,3.76
2016-02-16,4.32
2016-02-15,5.29
2016-02-14,5.24
2016-02-13,5.39
2016-02-12,5.55
2016-02-11,6.01
2016-02-10,4.44
2016-02-09,4.04
2016-02-08,3.18
2016-02-07,2.96
2016-02-06,2.53
2016-02-05,2.54
2016-02-04,2.58
2016-02-03,2.53
2016-02-02,2.44
2016-02-01,2.21
2016-01-31,2.31
2016-01-30,2.45
2016-01-29,2.49
2016-01-28,2.53
2016-01-27,2.39
2016-01-26,2.28
2016-01-25,2.5
2016-01-24,2.14
2016-01-23,1.97
2016-01-22,1.5
2016-01-21,1.55
2016-01-20,1.53
2016-01-19,1.37
2016-01-18,1.43
2016-01-17,1.33
2016-01-16,1.22
2016-01-15,1.21
2016-01-14,1.19
2016-01-13,1.13
2016-01-12,1.14
2016-01-11,1.06
2016-01-10,0.999231
2016-01-09,0.986833
2016-01-08,0.9867889999999999
2016-01-07,0.942005
2016-01-06,0.95086
2016-01-05,0.950176
2016-01-04,0.9544799999999999
2016-01-03,0.9719049999999999
2016-01-02,0.937124
2016-01-01,0.948024
2015-12-31,0.933542
2015-12-30,0.911958
2015-12-29,0.8730540000000001
2015-12-28,0.8450049999999999
2015-12-27,0.8563649999999999
2015-12-26,0.8546030000000001
2015-12-25,0.8703629999999999
2015-12-24,0.8632620000000001
2015-12-23,0.8580770000000001
2015-12-22,0.864202
2015-12-21,0.9007709999999999
2015-12-20,0.903885
2015-12-19,0.9080719999999999
2015-12-18,0.920127
2015-12-17,0.940701
2015-12-16,0.991182
2015-12-15,1.01
2015-12-14,0.993022
2015-12-13,0.9528840000000001
2015-12-12,0.976973
2015-12-11,0.9297620000000001
2015-12-10,0.8403959999999999
2015-12-09,0.792167
2015-12-08,0.822118
2015-12-07,0.811264
2015-12-06,0.8355
2015-12-05,0.8624379999999999
2015-12-04,0.840041
2015-12-03,0.8121430000000001
2015-12-02,0.82121
2015-12-01,0.8748
2015-11-30,0.8731190000000001
2015-11-29,0.8786139999999999
2015-11-28,0.915703
2015-11-27,0.867951
2015-11-26,0.8841829999999999
2015-11-25,0.8635370000000001
2015-11-24,0.900191
2015-11-23,0.9469690000000001
2015-11-22,0.968018
2015-11-21,0.97614
2015-11-20,0.9249200000000001
2015-11-19,0.9555319999999999
2015-11-18,0.9933190000000001
2015-11-17,1.01
2015-11-16,0.9289620000000001
2015-11-15,0.9063680000000001
2015-11-14,0.888812
2015-11-13,0.9040959999999999
2015-11-12,0.895711
2015-11-11,0.791829
2015-11-10,0.934348
2015-11-09,0.9992780000000001
2015-11-08,1.03
2015-11-07,0.927974
2015-11-06,0.926032
2015-11-05,0.8956370000000001
2015-11-04,0.89905
2015-11-03,1.01
2015-11-02,0.9897889999999999
