,bitcoin,Log Returns,AVG,Squared,RMS 52,P = (((avg / rms) – (1 / sqrt (n))) + 1) / 2
6/13/2016,704.38,0.080250448,0.009103628,8.2876E-05,0.004935078,1.3530012
6/20/2016,737.23,0.019795983,0.009133147,8.34144E-05,0.004992618,1.345327484
6/27/2016,655.27,-0.051182714,0.007815111,6.1076E-05,0.004998545,1.212401103
7/4/2016,683.66,0.018419885,0.00778922,6.0672E-05,0.0050202,1.206450343
7/11/2016,647.66,-0.023493095,0.006651728,4.42455E-05,0.005029446,1.091940914
7/18/2016,673.11,0.016738967,0.007356019,5.4111E-05,0.005047062,1.15940518
7/25/2016,654.1,-0.012441894,0.006689587,4.47506E-05,0.00506891,1.090526959
8/1/2016,606.27,-0.032978071,0.00641547,4.11583E-05,0.005074743,1.06276043
8/8/2016,591.05,-0.011041857,0.006716304,4.51087E-05,0.005080003,1.09171559
8/15/2016,567.24,-0.017857373,0.0065804,4.33017E-05,0.005117182,1.073633556
8/22/2016,586.75,0.01468625,0.008561558,7.33003E-05,0.005155542,1.260988189
8/29/2016,574.11,-0.009457987,0.007637577,5.83326E-05,0.00519585,1.165631427
9/5/2016,606.59,0.023900135,0.007749145,6.00492E-05,0.005246608,1.169153421
9/12/2016,608.24,0.001179731,0.008098853,6.55914E-05,0.005299681,1.194751158
9/19/2016,609.23,0.000706303,0.008241986,6.79303E-05,0.005380975,1.196507563
9/26/2016,608.04,-0.000849131,0.007793845,6.0744E-05,0.005463519,1.143924778
10/3/2016,612.13,0.002911514,0.007806641,6.09436E-05,0.00555762,1.132999143
10/10/2016,618.99,0.004839968,0.007730161,5.97554E-05,0.005634416,1.116639584
10/17/2016,639.19,0.013946339,0.007402851,5.48022E-05,0.005710787,1.078808783
10/24/2016,653.76,0.009788373,0.006925319,4.796E-05,0.005785724,1.029145852
10/31/2016,700.97,0.030281087,0.005537764,3.06668E-05,0.005835368,0.90516241
11/7/2016,703.13,0.001336197,0.00513375,2.63554E-05,0.00587849,0.86731794
11/14/2016,705.02,0.001165809,0.006321184,3.99574E-05,0.005940667,0.962688993
11/21/2016,739.25,0.020589896,0.006913877,4.78017E-05,0.00601489,1.005392602
11/28/2016,735.81,-0.002025647,0.005577997,3.11141E-05,0.006064422,0.89055771
12/5/2016,758.7,0.013304398,0.005439994,2.95935E-05,0.006110297,0.875812193
12/12/2016,780.09,0.012074627,0.004703571,2.21236E-05,0.006138096,0.813808297
12/19/2016,792.71,0.006969626,0.004942425,2.44276E-05,0.006167792,0.831326541
12/26/2016,907.61,0.058784935,0.006390361,4.08367E-05,0.006221401,0.944241382
1/2/2017,1021.75,0.051445374,0.007168586,5.13886E-05,0.006278138,1.00157903
1/9/2017,902.83,-0.053738665,0.005844449,3.41576E-05,0.006302017,0.894359141
1/16/2017,831.53,-0.035728059,0.006384158,4.07575E-05,0.006327247,0.935159816
1/23/2017,921.01,0.044386423,0.007139952,5.09789E-05,0.006390709,0.989282174
1/30/2017,920.38,-0.000297173,0.007542086,5.68831E-05,0.006454862,1.014879961
2/6/2017,1038.15,0.052292935,0.008538993,7.29144E-05,0.006533954,1.084094817
2/13/2017,990.64,-0.020344248,0.007570185,5.73077E-05,0.006588427,1.005168765
2/20/2017,1079.98,0.037499853,0.007542107,5.68834E-05,0.006633946,0.999110462
2/27/2017,1179.97,0.038455253,0.008282585,6.86012E-05,0.006711317,1.047723551
3/6/2017,1272.83,0.032899437,0.00937374,8.7867E-05,0.006823453,1.117539106
3/13/2017,1231.92,-0.014187897,0.009058271,8.20523E-05,0.006925587,1.084633796
3/20/2017,1054.23,-0.067647135,0.007820374,6.11583E-05,0.006991611,0.989930867
3/27/2017,1045.77,-0.003499192,0.007535285,5.67805E-05,0.007041678,0.965711442
4/3/2017,1143.81,0.03891771,0.00833881,6.95358E-05,0.007112414,1.01687765
4/10/2017,1187.13,0.016144391,0.008628695,7.44544E-05,0.007175144,1.031953177
4/17/2017,1193.91,0.00247331,0.008556338,7.32109E-05,0.007233998,1.02206005
4/24/2017,1250.15,0.019990535,0.00832416,6.92916E-05,0.007280605,1.002329252
5/1/2017,1421.6,0.05581529,0.00970653,9.42167E-05,0.007368997,1.089268383
5/8/2017,1723.35,0.083596074,0.01102236,0.000121492,0.007488957,1.166569984
