,index
2013-10-14,0.015251374279605582
2013-10-15,0.026993566620815885
2013-10-16,-0.02229946169591502
2013-10-17,0.03085344794737884
2013-10-18,0.058503191113471936
2013-10-19,0.09240594857056167
2013-10-20,0.008658522931649744
2013-10-21,0.03783724599354781
2013-10-22,0.05793208505931379
2013-10-23,0.10798625174269944
2013-10-24,-0.05844831625487267
2013-10-25,-0.0648754889075713
2013-10-26,-0.05158155840878103
2013-10-27,0.10454440687665521
2013-10-28,0.003979440735986888
2013-10-29,0.026842884608522643
2013-10-30,-0.018849300401518807
2013-10-31,0.021331103835018236
2013-11-01,0.011924423709141234
2013-11-02,0.0036807726028670277
2013-11-03,0.0434662996364415
2013-11-04,0.063804343054218
2013-11-05,0.06775556812242457
2013-11-06,0.07163785414043869
