Ticker,Algo,Network,Exchange,Name
PHS,Scrypt,Hybrid,Cryptopia,philosopher-stones
PXC,NeoScrypt,POW,Cryptopia,phoenixcoin
PHR,POS,POS,Cryptopia,phore
PHO,Blake256,POW,Cryptopia,photon
PIE,POS,POS,Cryptopia,piecoin
PIGGY,X11,POS,Cryptopia,piggycoin
PLR,Scrypt,POW,Cryptopia,pillar
PINK,Scrypt,POW,Cryptopia,pinkcoin
PCOIN,Scrypt,POW,Cryptopia,pioneer-coin
PIRL,Dagger,POW,Cryptopia,pirl
PIVX,Quark,Hybrid,Cryptopia,pivx
XPTX,Scrypt,POW,Cryptopia,platinumbar
PLX,Other,Asset,Cryptopia,plexcoin
PLC,SHA256,POW,Cryptopia,pluscoin
POP,Scrypt,POW,Cryptopia,popularcoin
POST,POS,POS,Cryptopia,postcoin
POSW,POS,POS,Cryptopia,posw-coin
POT,Scrypt,POS,Cryptopia,potcoin
POWR,None,Asset,Cryptopia,power-ledger
PXI,X11,POW,Cryptopia,prime-xi
XPM,Other,POW,Cryptopia,primecoin
PROC,POS,POS,Cryptopia,procurrency
PR,SHA256,POW,Cryptopia,prototanium
PBL,Other,POW,Cryptopia,publica
PURA,X11,POW,Cryptopia,pura
VIDZ,Other,POS,Cryptopia,purevidz
PUT,Scrypt,Hybrid,Cryptopia,putincoin
QTUM,None,Asset,Cryptopia,qtum
QRK,Quark,POW,Cryptopia,quark
QTL,Scrypt,POW,Cryptopia,quatloo
Q2C,Qubit,POW,Cryptopia,qubitcoin
QWARK,None,Asset,Cryptopia,qwark
RBBT,Scrypt,POW,Cryptopia,rabbitcoin
XRA,POS,POS,Cryptopia,ratecoin
RED,Scrypt,POW,Cryptopia,redcoin
RDD,POS,POS,Cryptopia,reddcoin
RNS,POS,POS,Cryptopia,renos
R,Scrypt,POW,Cryptopia,revain
XRE,Other,POW,Cryptopia,revolvercoin
RBT,Scrypt,POS,Cryptopia,rimbit
RPC,Scrypt,POW,Cryptopia,ronpaulcoin
RKC,None,Asset,Cryptopia,royal-kingdom-coin
XRY,CryptoNight,Hybrid,Cryptopia,royalties
RBY,POS,POS,Cryptopia,rubycoin
RUP,Scrypt,POW,Cryptopia,rupee
RC,Scrypt,POS,Cryptopia,russiacoin
SAFEX,None,Asset,Cryptopia,safe-exchange-coin
SAGA,Scrypt,Hybrid,Cryptopia,sagacoin
SKR,Scrypt,POW,Cryptopia,sakuracoin
STV,X13,POS,Cryptopia,sativacoin
SBC,Other,Hybrid,Cryptopia,strikebitclub
SCORE,Scrypt,POW,Cryptopia,scorecoin
SRC,Scrypt,POW,Cryptopia,securecoin
SDRN,None,Asset,Cryptopia,senderon
SXC,Scrypt,POW,Cryptopia,sexcoin
SHA,SHA256,POS,Cryptopia,shacoin
SAK,Scrypt,POW,Cryptopia,sharkcoin
SIB,X11,POW,Cryptopia,sibcoin
611,SHA256,POW,Cryptopia,sixeleven
SKC,Skein,POW,Cryptopia,skeincoin
SKIN,None,Asset,Cryptopia,skincoin
SKY,Other,Other,Cryptopia,skycoin
SMART,Keccak,POW,Cryptopia,smartcash
SMC,X11,POW,Cryptopia,smartcoin
SCL,Other,POW,Cryptopia,social
SEND,Quark,POS,Cryptopia,social-send
SOIL,Scrypt,POW,Cryptopia,soilcoin
SFC,Scrypt,POW,Cryptopia,solarflarecoin
XLR,Nist5,Hybrid,Cryptopia,solaris
SONG,Scrypt,POW,Cryptopia,songcoin
SOON,SHA256,POW,Cryptopia,sooncoin
SPACE,Scrypt,Hybrid,Cryptopia,spacecoin
SPANK,POS,POS,Cryptopia,spankchain
XSPEC,POS,POS,Cryptopia,spectrecoin
XID,None,Asset,Cryptopia,sphre-air
SPT,Scrypt,POW,Cryptopia,spots
SPR,X11,POW,Cryptopia,spreadcoin
STRC,None,Asset,Cryptopia,starcredits
START,X11,POW,Cryptopia,startcoin
XST,Scrypt,POW,Cryptopia,stealthcoin
SLG,POS,POS,Cryptopia,sterlingcoin
STC,POS,POS,Cryptopia,santa-coin
STRAT,POS,POS,Cryptopia,stratis
SUMO,CryptoNight,POW,Cryptopia,sumokoin
BUCKS,Scrypt,Hybrid,Cryptopia,swagbucks
SWING,SHA256,POS,Cryptopia,swing
SYNX,POS,POS,Cryptopia,syndicate
AMP,None,Asset,Cryptopia,synereo
TAJ,Blake2s,Hybrid,Cryptopia,tajcoin
TSE,Scrypt,Hybrid,Cryptopia,tattoocoin
TEK,SHA256,Hybrid,Cryptopia,tekcoin
PAY,None,Asset,Cryptopia,tenx
TRC,SHA256,POW,Cryptopia,terracoin
TER,Scrypt,Hybrid,Cryptopia,terranova
TES,Scrypt,POS,Cryptopia,teslacoin
USDT,Scrypt,POW,Cryptopia,tether
TGC,SHA256,POW,Cryptopia,tigercoin
TIT,SHA256,POW,Cryptopia,titcoin
TTC,Scrypt,POW,Cryptopia,tittiecoin
TOA,Scrypt,Hybrid,Cryptopia,toacoin
TOK,Scrypt,POW,Cryptopia,tokugawa
TOP,Scrypt,Hybrid,Cryptopia,topcoin
TX,X11,POS,Cryptopia,transfercoin
TZC,NeoScrypt,POW,Cryptopia,trezarcoin
TRI,POS,POS,Cryptopia,triangles
TRK,Scrypt,POS,Cryptopia,truckcoin
TRUMP,Blake256,POS,Cryptopia,trumpcoin
UBQ,Dagger,POW,Cryptopia,ubiq
UTC,Scrypt_jane,Hybrid,Cryptopia,ultracoin
UNB,SHA256,POW,Cryptopia,unbreakablecoin
UNIC,SHA256,POW,Cryptopia,unicoin
UNIFY,Scrypt,POS,Cryptopia,unify
UIS,Other,Hybrid,Cryptopia,unitus
UNIT,SHA256,Hybrid,Cryptopia,universal-currency
UNO,SHA256,POW,Cryptopia,unobtanium
UFR,None,Asset,Cryptopia,upfiring
UR,Other,POW,Cryptopia,ur
VPRC,Scrypt,POW,Cryptopia,vaperscoin
XVG,Blake256,POW,Cryptopia,verge
VRC,Scrypt,POS,Cryptopia,vericoin
VRM,Scrypt,POW,Cryptopia,veriumreserve
V,SHA256,Hybrid,Cryptopia,version
VUC,Nist5,Hybrid,Cryptopia,virta-unique-coin
VISIO,X13,Hybrid,Cryptopia,visio
VIVO,NeoScrypt,POW,Cryptopia,vivo
VOISE,Scrypt,POW,Cryptopia,voisecom
WRC,Scrypt,Hybrid,Cryptopia,worldcore
WSX,X11,Hybrid,Cryptopia,wearesatoshi
WILD,None,Asset,Cryptopia,wild-crypto
WC,Scrypt,POW,Cryptopia,win-coin
