AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,Date,Time,,,,
25874589,0.0000069,elementrem,-0.63,-9.13,51.53,,2879557,ELE,25874589,0.111289,14035.5,66,1/7/2018,09:09:51 PM,,,,
24947260808,0.00000017,mintcoin,1.78,192.63,449.94,,68750909,MINT,24947260808,0.00275585,9905590,1023,1/7/2018,09:08:53 PM,,,,
495356808,0.0000015,b3coin,-0.62,410.57,5546.46,2000000000,12012304,B3,618159093,0.0242498,3492540,204,1/7/2018,09:07:35 PM,,,,
31823026,0.00024267,oyster-pearl,-8.17,48.51,675.23,,124673070,PRL,108592692,3.9177,21213900,55,1/7/2018,09:07:33 PM,,,,
,0.00004237,wandx,3.16,8.89,46.05,,,WAND,75000000,0.682443,45466.6,4,1/7/2018,09:07:23 PM,,,,
,3E-10,stronghands,2.48,-35.37,655.92,,,SHND,12390920701,5.0868E-06,2480730,61,1/7/2018,09:07:20 PM,,,,
1029190905,0.00001486,decentraland,13.97,36.99,133.59,,247508062,MANA,2805886393,0.240488,84358700,26,1/7/2018,09:07:06 PM,,,,
2947950,0.00321269,zencash,-0.75,0.47,-8.98,21000000,153295169,ZEN,2947950,52.0006,2986340,97,1/7/2018,09:06:54 PM,,,,
530084086,0.00005314,syscoin,-0.83,10.73,14.65,888000000,455979391,SYS,530084086,0.860202,11330300,114,1/7/2018,09:05:51 PM,,,,
167390788,0.00000151,zetacoin,0.06,18.23,135.22,,4066709,ZET,167390788,0.0242947,78370.6,183,1/7/2018,09:05:48 PM,,,,
645222,0.048115,byteball,1.96,-7.34,11.27,,502491837,GBYTE,1000000,778.789,1434920,829,1/7/2018,09:05:46 PM,,,,
4523099,0.00004139,crystal-clear,-0.03,88.58,-38.68,10000000,3019485,CCT,6924060,0.66757,131033,32,1/7/2018,09:04:37 AM,,,,
127106408,0.00000851,xaurum,-3.8,-7.03,-8.68,,17496960,XAUR,127106408,0.137656,232465,194,1/7/2018,09:04:04 PM,,,,
17638681,0.00004204,flypme,-10.92,13.26,51.73,,11995009,FYP,35277363,0.68004,80796.6,42,1/7/2018,09:03:51 AM,,,,
98691608,0.00105812,stratis,-0.76,7.6,22.73,,1690271436,STRAT,98691608,17.1268,40016200,1006,1/7/2018,09:03:30 PM,,,,
133248289,0.00149876,raiblocks,-3.84,-13.28,25,133248290,3221437290,XRB,133248289,24.1762,42004700,503,1/7/2018,09:03:05 PM,,,,
72057791,0.00005163,flixxo,2.59,25.47,278.83,,60307255,FLIXX,189151329,0.836929,1542960,47,1/7/2018,09:03:00 PM,,,,
3726781,0.00235263,genesis-vision,-0.56,21.24,340.05,,141546865,GVT,4436644,37.981,35330700,112,1/7/2018,09:02:21 PM,,,,
59742,0.00056999,bitgem,15.26,19.4,69.74,,550027,BTG,59742,9.20665,8596.6,56,1/7/2018,09:01:45 PM,,,,
